V0,V1,V2,V3,V4,V5,V6,V7,V8,V9
-1.016,-1.412,1.133,1.174,-0.04556,-1.432,-1.396,-0.3687,-1.426,1.043
1.55,-0.4202,-0.5938,0.05997,-0.2993,-0.2466,0.6733,-0.549,-1.341,0.00713
0.867,-0.9854,-1.431,-0.9346,-1.736,1.008,0.6694,1.058,1.279,1.347
0.409,-0.0782,-1.252,-1.245,-1.239,1.442,0.09424,1.649,0.735,-0.343
-1.409,-0.923,1.077,1.574,0.1028,-1.229,-1.488,0.10693,-1.155,0.824
0.632,-0.8687,-1.284,-1.186,-1.634,1.229,0.086,1.66,0.969,0.807
0.4294,-0.2832,-1.097,-1.206,-1.155,1.325,0.2047,1.928,0.663,-0.473
1.177,-0.3223,-1.012,-0.6157,-1.032,0.246,1.078,-0.757,-0.8203,-1.102
-0.9375,0.1447,1.319,1.225,0.4207,-1.234,-1.582,0.05298,0.06076,-1.35
-1.729,-0.365,1.107,1.739,0.202,-1.62,-1.258,-0.837,-1.636,0.01357
-0.858,1.685,1.152,1.105,1.82,-1.08,-1.443,-0.302,-0.1683,-0.1813
0.2908,-1.022,-0.5137,-1.2295,-1.019,1.271,-0.01312,1.563,0.3164,0.1797
0.4023,-0.7095,-0.9556,-1.1045,-1.165,1.233,0.2756,1.617,0.7427,0.525
0.1111,-1.538,-0.3818,-0.913,-1.017,1.076,0.6914,0.866,0.4602,0.1254
1.192,0.762,-0.938,-0.5737,0.1344,0.3257,1.16,-1.184,0.01075,-1.514
1.324,-0.183,-0.7886,-0.3555,-0.6606,-0.5684,1.092,-1.346,-1.61,0.08984
0.001571,1.659,-0.0001543,-0.7324,1.467,0.6304,1.044,-0.4402,1.308,1.1875
-0.0866,-1.566,0.06683,-0.5815,-0.6416,-0.081,1.054,-0.912,-1.704,0.884
0.885,0.694,-1.264,-0.9507,-0.507,0.9224,0.7437,0.9346,0.881,0.068
-0.5034,-0.0641,1.041,0.1956,0.1978,-0.2673,0.1627,0.2747,-0.006516,-1.345
-1.496,-0.4854,0.879,1.537,0.2625,-1.507,-1.298,-0.737,-1.509,0.1257
-0.99,1.3,1.307,1.146,1.648,-0.693,-1.722,0.1267,0.8037,0.2822
-0.08496,-1.289,0.3835,-0.5044,-0.346,0.2837,1.124,-1.075,-1.042,0.3364
0.0807,-1.495,-0.287,-0.879,-0.955,1.13,0.7754,0.1937,-0.05832,-0.254
1.184,1.175,-0.915,-0.5537,0.496,0.4302,1.159,-1.164,0.647,-0.476
1.678,-0.346,-0.4075,0.3416,-0.03265,-0.07837,-0.1377,-0.1523,-1.191,0.08356
-0.522,1.306,1.152,0.4014,1.542,-0.1704,-0.1855,0.1443,0.943,0.689
-0.3767,0.2556,0.9644,-0.05283,0.4885,-0.3132,0.7896,-0.751,0.00805,-2.033
0.1344,1.592,-0.618,-0.9365,0.869,0.9897,0.736,0.834,2.406,3.473
-1.007,0.5127,1.391,1.338,0.8486,-1.104,-1.643,-0.1953,0.622,-1.231
