V0,V1,V2,V3,V4,V5,V6,V7,V8,V9
-0.10205,-0.3528,0.7993,0.419,0.441,-1.173,-0.4263,-0.39,0.653,-1.334
-0.5645,0.0207,0.76,-0.01152,-0.3652,-1.056,0.6904,-0.10126,-0.0725,0.3381
-0.943,1.348,-0.4675,-0.912,-0.5522,-0.4841,0.003656,-0.2603,1.782,-1.728
-1.558,-0.313,0.8086,0.4814,0.1559,0.5396,1.247,-0.4453,-0.2042,0.7363
1.457,-0.252,0.9756,-1.026,1.077,1.77,-0.03534,-0.01689,0.3984,-0.719
1.002,1.282,-1.016,0.6294,-0.529,0.931,0.8716,0.3723,0.414,0.03378
0.2578,1.605,0.8506,-0.585,0.1113,-0.7993,1.442,-0.6562,0.5054,0.4812
1.186,-0.5405,0.718,1.199,0.1753,1.34,0.1398,-0.718,0.2379,-0.3787
-1.147,-0.1274,1.546,0.6553,2.15,-0.236,-0.04907,-0.2145,0.4478,-0.862
1.219,-1.561,0.1367,-1.02,-0.816,1.409,1.077,-0.0648,1.4,-0.6323
1.297,1.294,-0.706,0.03506,-0.7246,1.544,-0.627,0.7124,0.01971,-0.2148
-0.8906,-1.148,1.158,-0.379,1.104,-0.5874,-0.29,-0.847,0.8105,-1.4375
1.524,1.096,1.29,-1.166,1.678,1.793,-0.6846,0.2286,1.718,-1.642
-1.281,1.593,1.41,-0.7456,1.814,0.11053,1.389,-1.048,-1.652,0.2957
-0.642,-0.1737,-0.5337,-0.6675,-0.4941,-0.953,0.6445,-0.535,1.598,-1.541
-1.187,0.9854,1.062,-0.4424,0.9663,0.0608,-0.5317,0.933,0.322,-0.811
0.3438,1.346,-0.238,-1.452,-0.8403,-0.642,-0.632,0.1981,-0.04315,-0.05063
-0.955,-0.2235,1.479,1.138,1.889,-0.452,-1.7,0.1947,1.171,0.55
0.8076,1.223,0.4778,-1.306,-0.2233,0.425,0.532,0.714,0.884,-0.9507
-0.691,-1.252,-0.2825,0.3174,-0.853,-0.8857,1.096,-0.697,1.091,-0.715
1.479,-0.956,0.359,0.974,-1.154,1.794,-0.1865,-1.01,0.3,-0.801
1.38,0.902,-1.522,-0.683,-0.4294,1.675,0.635,1.486,1.631,-1.786
1.549,1.176,-0.4219,0.2292,-1.01,1.812,-1.0625,0.424,-0.1492,0.828
-1.253,-0.2211,-1.128,-1.568,-0.4656,-0.05984,0.801,-0.3389,0.0596,0.3735
0.7764,-0.565,-1.129,-0.247,-0.503,0.2734,-1.408,-1.463,-0.0763,1.536
-1.16,1.608,1.435,1.183,1.905,-0.1113,-0.1425,-0.9756,-0.8374,0.0382
0.02052,1.065,0.601,-1.577,-0.442,-1.109,1.201,1.565,0.001534,0.6157
1.486,0.6953,-0.965,0.06964,-0.5537,1.795,0.0522,1.664,0.5063,-0.816
0.6514,-1.493,1.546,-0.4895,2.025,-0.0753,-1.034,-0.319,2.053,-1.233
-1.425,1.454,-1.199,-0.10876,-0.4395,0.3916,0.1997,0.1571,1.402,-1.777
-1.438,-0.875,1.383,-0.1306,1.721,0.2656,0.7534,-1.427,-0.726,-0.05997
-0.8057,-1.307,1.256,-0.94,1.477,-0.712,-0.8413,-0.8613,0.95,-1.369
-0.01855,0.2446,1.3125,-0.3503,1.574,-1.191,0.258,0.851,0.7407,-0.9507
-1.29,0.03087,1.197,1.307,1.192,0.2006,-0.5435,0.35,0.848,-1.436
-0.811,-1.422,-0.1378,0.2103,-0.9766,-0.7075,-1.607,-0.3457,-0.3203,1.907
0.4324,-1.064,1.362,0.336,1.774,-0.519,-0.8916,-0.958,0.6997,-1.056
0.951,0.2275,-0.02121,0.0708,-0.4917,0.7764,0.6055,1.398,-0.2324,0.2983
1.62,1.555,-0.4731,0.001119,-0.987,1.895,-1.402,-0.2206,-0.67,2.297
-1.118,1.4,-0.611,-0.871,-0.665,-0.1582,0.3083,0.1879,2.053,-1.932
-1.247,0.8037,-1.601,0.8125,-0.422,0.0423,-1.154,1.048,-1.696,0.67
-0.4695,1.5625,0.195,-1.203,-0.6616,-1.134,1.258,-0.8467,0.1787,0.5654
1.508,-0.594,-0.9575,-0.3425,-0.643,1.783,-0.3323,-0.861,0.7417,-1.315
-0.2367,-1.221,0.5884,-0.26,0.1365,-1.275,-1.253,-0.6353,0.1123,0.659
-1.439,-1.59,-1.1,1.002,-0.4873,0.3916,0.934,-0.0778,-0.268,0.4126
-0.7373,-1.094,-0.816,1.41,-0.5938,-0.829,-0.9043,-0.8804,-0.4587,1.1
-0.6562,-0.716,-0.2231,-0.0662,-0.727,-0.934,-0.3945,-1.36,-0.4478,0.351
-0.2368,-0.956,-0.7476,0.7236,-0.761,-1.271,0.2039,-1.16,-0.452,0.176
1.088,-1.02,0.818,-0.0701,0.05984,1.139,-0.3188,-1.066,0.10944,-0.4773
-1.564,-0.1919,0.929,1.675,0.6265,0.2935,-1.099,-0.5483,0.4229,0.0465
-1.387,0.902,-0.6465,0.8384,-0.8115,0.337,0.1285,1.177,-1.298,-0.694
-1.614,-0.7305,-0.734,0.2368,-0.9185,0.5566,-1.013,-1.313,-0.2605,1.104
-1.32,1.398,1.477,1.156,2.01,0.1542,-0.634,0.3416,0.6895,-1.279
-1.464,0.988,1.647,0.2109,2.27,0.3945,1.738,1.704,-0.3298,1.013
-0.2379,1.01,-1.347,1.389,-0.4058,-1.29,0.9453,0.21,-1.473,-0.522
-1.39,0.7563,-0.1534,-1.405,-0.735,0.3137,-1.468,1.774,-0.1057,1.825
0.327,0.829,-1.316,0.4128,-0.4036,-0.759,-0.3901,0.9487,-0.3381,0.1954
1.695,-1.518,-1.266,-0.01294,-0.4138,1.926,0.4792,-0.1034,1.407,-1.756
1.603,1.389,-0.02893,-1.313,-0.8115,1.882,0.1249,0.1711,0.841,-1.162
-1.529,-1.472,1.5,-0.12164,1.977,0.4817,-1.677,-0.1965,1.683,-0.0548
0.5747,-1.534,0.837,0.402,0.4795,-0.239,0.2637,-0.3245,0.316,-0.4128
-1.201,-0.6685,-1.224,1.196,-0.44,0.038,-1.068,-1.072,-1.215,1.146
-0.512,-0.4172,0.4915,-0.1466,-0.6763,-1.099,1.743,-0.9653,0.0768,0.9097
-1.2,-0.816,1.053,0.553,1.121,0.02487,-0.9233,-1.123,0.773,-0.786
1.127,1.182,-0.74,1.565,-0.766,1.2,0.0781,0.00873,-2.123,-1.692
0.0999,1.503,-0.0219,-0.3215,-0.614,-1.084,0.268,-1.77,-0.8027,0.0799
-0.4473,1.471,0.9634,-1.365,0.715,-1.112,1.586,-0.1793,-0.2908,0.868
1.715,-1.235,-1.567,0.9775,-0.3994,1.93,1.502,-0.606,-0.047,0.7856
0.811,0.626,0.735,1.077,0.378,0.49,-1.08,1.262,1.378,-1.128
0.1849,-0.2654,-0.7935,1.382,-0.693,-0.982,0.2964,-1.058,-1.144,-0.4653
-0.5625,-1.061,-1.526,1.78,-0.3894,-1.055,1.161,-0.957,-0.4238,0.4407
-1.468,-1.5625,-0.04068,-0.9966,-0.2212,0.361,0.1558,-0.09674,2.434,-1.808
-0.4426,-0.0629,0.6196,-1.5625,-0.09344,-1.186,0.9463,0.3909,0.412,0.19
1.568,-1.057,-1.613,-0.1504,-0.443,1.75,0.0922,-1.025,-0.293,0.05847
-0.1593,-1.063,-0.7812,-0.7305,-0.56,-1.311,-0.569,-1.033,1.282,-1.608
0.2686,1.439,-0.8623,1.07,-0.621,-0.7783,-1.128,-0.2527,0.064,0.7095
