V0,V1,V2,V3,V4,V5,V6,V7,V8,V9
-1.583,-0.2842,0.591,1.343,0.7617,1.458,-0.6763,0.843,2.123,-1.422
0.1305,1.498,0.6426,0.987,-0.511,-1.021,0.533,1.106,0.0094,0.582
0.2659,1.482,1.548,0.1763,0.953,1.0205,-0.535,0.7344,0.3914,-0.1844
-1.29,-0.2664,0.814,0.3604,0.3933,0.8135,0.3684,-0.878,0.453,0.0512
0.2717,-0.4536,-0.265,-0.1674,-0.05515,-0.333,-1.632,-0.2783,-0.938,-0.788
-1.4375,0.915,0.4834,1.514,3.299,1.065,2.277,-0.861,1.275,0.5044
-1.098,0.128,0.6543,-0.926,-0.8657,-0.3596,-0.639,-0.4858,0.1134,-1.352
-1.608,-1.472,-0.862,0.38,-0.2239,-0.07764,0.8647,-0.0991,0.9272,-2.072
-0.6245,0.001796,0.937,-0.907,0.691,-0.1279,0.4624,-0.0971,-2.236,-0.3625
1.026,-0.00299,0.5,0.7617,-0.2573,0.6113,-0.584,-0.6025,-0.2338,0.892
0.525,0.3591,-1.238,-0.517,1.171,-0.2477,-1.371,1.897,-0.875,0.007526
-1.28,0.2598,-0.972,-1.045,-0.5015,0.12427,-0.6406,0.3887,-0.09015,0.519
1.256,-1.725,-2.363,-1.095,-0.2399,-3.438,-0.762,0.7573,-1.542,-0.2756
-0.8477,1.648,1.193,0.1583,1.63,2.0,-0.2137,1.341,0.2832,0.4885
0.4368,-0.1554,-0.616,-1.894,0.2456,-1.395,0.0401,-0.1976,-1.038,1.182
0.03406,0.2866,0.769,-1.044,0.6377,0.4163,-0.466,-0.812,-0.0289,-0.7363
0.187,-1.344,-1.59,-0.3027,1.142,-1.327,-0.05997,-1.993,0.6416,-0.459
-0.9077,0.2876,0.01559,0.5967,0.5073,1.273,0.557,-0.01201,0.4397,-0.4893
-0.452,-0.693,-1.4795,-1.524,0.881,-1.75,-1.91,-1.178,-1.868,-0.259
0.641,0.448,0.02992,1.485,0.1661,1.023,1.013,0.9976,1.564,0.7515
1.048,-0.972,-1.008,-1.666,-0.5273,0.8096,0.9897,-0.4119,-1.289,-0.84
-1.421,-1.752,-1.057,0.3264,-0.7607,-0.815,-0.7144,0.4707,0.2235,-1.236
-0.7134,-1.182,-2.35,-2.582,-0.932,-1.947,-1.219,-0.8496,-2.236,-0.6455
-0.728,0.588,0.985,1.693,0.208,-0.1749,2.158,1.078,0.7334,-0.4265
0.8145,-1.51,-1.046,-0.2722,-0.1104,0.258,0.6685,-1.517,-0.945,0.2346
-0.176,0.04938,-1.023,-0.6484,1.16,-2.312,1.127,-0.7773,-1.052,1.522
-1.258,0.2301,0.5454,0.1007,0.5557,-0.3025,1.414,-0.9683,0.7104,0.11426
1.478,-0.02197,-0.2551,0.3542,0.81,0.5347,-0.397,-0.1708,-1.137,-1.362
