V0,V1,V2,V3,V4,V5,V6,V7,V8,V9
-1.069,0.8687,-1.343,0.0872,-0.846,-0.4092,-0.5474,-0.3904,-0.3423,-0.2605
1.316,-1.379,1.143,0.9766,0.9634,0.412,0.3088,0.3896,0.04514,-0.1415
-1.68,0.591,1.09,1.99,2.816,3.78,3.717,3.7,3.926,3.512
-0.9863,0.6953,0.733,0.0266,-0.3694,-0.4543,-0.517,-0.3562,-0.3584,-0.2323
-1.64,-1.506,1.252,1.674,2.266,2.602,2.379,2.318,2.06,1.329
-1.633,0.385,-1.328,2.059,2.123,1.708,2.299,1.404,1.444,0.884
1.076,0.422,-0.4795,0.1509,-0.9917,-0.446,-0.518,-0.6123,-0.3276,-0.2537
0.5283,1.494,-1.484,-0.906,-0.6875,-0.4263,-0.513,-0.4485,-0.3335,-0.148
0.534,-1.507,-0.8306,-0.7837,-0.8857,-0.538,-0.4724,-0.5923,-0.327,-0.4055
1.4375,0.438,-0.889,1.089,-0.03622,-0.65,-0.1052,-0.222,-0.3313,-0.1345
1.357,0.4429,1.29,0.9424,0.9385,0.4763,0.281,0.5317,0.04483,0.02663
-0.923,-1.643,0.455,-0.2969,-0.73,-0.4858,-0.557,-0.525,-0.3606,-0.4402
0.319,1.291,0.3464,-1.219,-0.11053,-0.4766,-0.2778,-0.542,-0.3633,-0.1328
-1.007,-0.88,-0.802,-0.08777,-1.111,-0.3398,-0.5024,-0.544,-0.2847,-0.3967
-0.437,-0.07764,-1.118,-0.9756,-0.6807,-0.506,-0.4304,-0.589,-0.389,-0.3062
-1.186,-0.5645,0.0613,0.3977,-0.543,-0.615,-0.515,-0.5083,-0.3855,-0.3435
0.3196,-1.667,1.687,-1.063,1.062,1.003,0.2986,0.7725,0.2377,-0.0693
-0.5854,-1.36,-0.7534,-0.6904,-0.8965,-0.5576,-0.5767,-0.6304,-0.358,-0.4143
1.717,-1.451,-1.179,2.361,2.83,3.227,3.867,2.967,3.473,2.873
0.0832,-1.382,-1.033,-1.049,-0.685,-0.6855,-0.4456,-0.6167,-0.3838,-0.381
-1.375,-0.9634,1.096,1.04,0.85,0.3186,0.2507,0.4136,0.03128,-0.1923
-1.212,0.988,-1.183,0.5825,-0.553,-0.579,-0.4065,-0.3535,-0.368,-0.2198
0.873,0.726,0.8213,-0.2898,-0.26,-0.2186,-0.546,-0.2922,-0.3125,-0.1957
-0.8296,-1.67,-1.336,-0.406,-0.9443,-0.3562,-0.5117,-0.4622,-0.3132,-0.4402
1.053,-0.3508,-0.4583,0.00728,-1.023,-0.2651,-0.5464,-0.5713,-0.325,-0.3147
-0.02045,-0.342,-1.444,-1.084,-0.4504,-0.3877,-0.368,-0.4316,-0.3276,-0.319
-0.1384,-0.4148,1.61,-1.302,1.238,1.18,0.6016,0.8706,0.391,0.1001
-1.612,-1.52,-0.834,1.876,1.551,0.6543,1.34,0.5146,0.5,0.05823
-1.437,-0.391,-1.474,0.905,-0.03586,-0.528,-0.247,-0.0873,-0.3293,-0.2725
0.0954,0.3396,-0.06027,-1.109,-0.685,-0.662,-0.4143,-0.627,-0.3428,-0.2517
0.4143,-0.09766,-0.654,-0.89,-0.8457,-0.4978,-0.4702,-0.6714,-0.3723,-0.3179
0.5664,0.08887,1.091,-0.84,-0.05768,-0.1277,-0.3464,-0.10394,-0.3044,-0.2388
0.1942,-1.624,-1.464,-1.144,-0.461,-0.524,-0.368,-0.41,-0.3386,-0.3896
0.5493,0.0464,-0.002296,-0.6123,-0.856,-0.3806,-0.4956,-0.599,-0.357,-0.304
0.4934,1.007,1.076,-0.8335,0.02866,-0.1838,-0.3677,-0.1356,-0.307,-0.1421
0.8047,-1.11,1.241,-0.5586,0.11145,-0.05225,-0.4365,0.005806,-0.2477,-0.2607
-1.259,1.481,-1.229,0.3525,-0.8433,-0.4812,-0.455,-0.365,-0.3,-0.1954
