V0,V1,V2,V3,V4,V5,V6,V7,V8,V9
-0.8296,0.866,0.1067,1.115,1.478,0.693,-0.2231,-1.512,-0.4946,-0.0357
1.094,-0.834,-0.4004,1.284,-0.187,-0.9097,1.037,0.2598,1.231,1.332
1.703,0.616,0.4585,0.6904,1.733,1.488,-1.312,-1.397,-0.524,-0.4512
-0.1973,-1.07,-0.5825,-1.315,-1.502,-0.3347,0.9624,0.6987,-0.2128,0.258
0.3093,1.584,0.7183,1.655,1.376,0.5923,-0.948,-0.6807,1.135,0.7427
-1.713,0.8496,0.6606,-0.3809,1.686,-0.451,0.05182,-0.4404,-0.05914,-0.3535
1.595,-1.294,-1.17,0.714,-1.086,-1.437,1.444,0.8354,1.474,1.256
-0.2051,-1.553,-2.486,-1.314,0.689,1.659,-0.329,-1.471,-2.348,-2.498
1.151,1.456,1.213,-1.449,0.5425,1.337,-2.166,-0.594,-1.293,-1.763
0.457,0.287,0.4482,-0.9673,-0.66,0.7944,-0.6504,0.509,-0.1869,0.3357
0.8076,-1.315,-1.364,0.627,-0.3274,-0.875,1.588,0.299,0.549,1.295
-1.296,-1.291,-0.688,0.5923,-0.4731,0.6836,0.2153,-0.5166,0.2705,-0.1956
-1.132,1.379,0.694,0.906,0.2068,-0.9146,0.06192,0.7363,1.205,0.586
-0.4065,0.1127,0.1311,1.705,0.08856,0.553,0.01631,-0.7515,0.3997,0.3875
-0.08264,1.113,1.313,0.9375,-0.4404,-1.5205,-0.3855,2.105,1.436,0.5405
-1.467,0.3796,0.8823,-1.226,-0.868,-1.626,-0.1317,2.242,-0.1738,0.000778
-0.10486,-0.0687,0.528,1.362,0.387,1.321,-1.318,-0.595,0.542,0.5024
0.3147,-1.483,-2.783,-0.6914,-0.5703,-0.3784,1.527,0.2068,-0.013916,0.8774
-0.3813,-0.9097,-1.098,-1.379,0.9814,1.757,-0.5825,-1.431,-2.607,-2.771
0.874,-1.3125,-0.8604,1.085,0.01077,-0.1721,0.925,-0.534,0.4456,0.9863
0.4226,-1.313,-0.846,-0.99,-0.414,0.828,-0.01563,-0.1472,-0.6274,-0.0366
-1.609,-1.581,-1.439,0.0745,0.3691,-1.243,1.319,-0.5967,0.07764,-0.2756
1.484,-0.5366,-0.18,1.333,0.827,1.572,-0.7334,-1.1045,0.2222,0.323
1.175,-1.237,-0.796,-0.7036,-1.162,-0.887,1.108,0.754,-0.01458,0.1836
0.3967,-0.07556,0.53,0.1989,0.6636,0.5674,-0.454,-1.043,-0.1371,0.4136
-0.5034,1.545,0.659,-0.3604,1.49,-0.861,0.266,-0.5244,0.07806,0.67
0.3213,0.878,0.6445,-0.4492,-1.192,-1.041,0.2595,1.577,0.588,0.5767
0.363,-0.1012,0.934,-0.2566,-1.504,-0.781,-0.4001,2.436,1.268,0.6187
0.04028,1.658,1.765,-0.2212,-0.5625,-1.255,-0.573,2.398,0.881,1.056
0.529,-0.0983,0.536,1.59,-0.1582,1.112,-1.326,0.4294,1.1455,0.5195
-1.016,-1.475,-2.027,-0.793,-1.106,1.154,-0.1299,0.1449,-0.1454,-0.3643
0.7573,-0.557,-0.941,1.055,-0.1497,-1.647,1.429,0.1866,0.5234,1.22
1.748,1.134,1.592,-0.624,1.347,1.333,-2.42,-0.7305,-0.3743,-1.773
-1.482,0.419,-0.5273,0.4402,-1.266,1.56,-0.6577,0.6353,0.615,-0.848
-0.10547,-0.9785,-1.901,-0.4072,1.59,-0.791,1.564,-1.461,-1.383,0.02377
0.4878,1.358,0.62,-1.042,-0.86,-1.112,0.3738,1.196,-0.5005,0.719
-1.311,1.695,0.7383,0.6963,-0.9126,1.221,-1.555,0.9414,1.368,-0.747
1.268,0.3008,-0.02611,1.255,0.877,0.0795,0.7793,-1.825,-1.344,-1.099
-1.599,1.125,0.664,-1.469,-0.4424,-0.5376,0.07043,1.375,-0.5806,-0.4678
0.1254,-0.1865,-0.4275,0.8594,-0.1378,-1.633,1.3955,0.4211,1.231,1.487
