V0,V1,V2,V3,V4,V5,V6,V7,V8,V9
0.2686,-0.1383,0.4407,0.614,1.161,-1.021,0.327,1.531,0.595,1.964
0.3215,0.792,-0.617,-0.6865,-0.8213,1.132,-1.507,0.03934,0.609,-0.6655
-0.2256,0.9688,-0.788,-0.8604,-1.138,-0.623,1.187,-1.096,-1.601,-0.737
-1.535,0.28,0.216,-0.9297,-0.02295,-1.604,0.8877,0.602,-1.669,-0.5146
-0.518,-0.8916,0.724,-0.2603,0.781,0.796,-1.277,0.4526,0.8237,-0.5005
0.2861,-0.1214,0.534,0.4004,-0.1539,1.246,-0.6206,-1.043,0.787,-0.668
-1.298,0.651,-0.287,-0.983,0.8823,-0.882,-0.7686,0.7896,0.5435,-0.3271
-1.265,0.0637,0.3562,-0.823,1.101,-1.682,-0.0001401,1.013,-0.1239,0.00808
-0.8496,-1.323,0.828,-0.4675,-1.284,-0.3882,-0.7026,0.3843,-1.796,-0.7837
0.2479,0.9214,-0.456,-0.6133,0.712,-1.587,0.3057,-1.272,-0.3704,-0.731
-0.9756,0.318,0.2634,-0.753,1.078,-1.282,-1.581,-1.335,0.398,-0.8247
-1.332,-0.06183,0.3723,-0.855,0.2512,0.9224,-1.332,-0.567,0.803,-0.674
0.97,0.6714,-0.04153,0.7783,-0.985,1.435,0.831,-0.43,0.6636,0.2524
-1.518,1.379,-2.041,-1.201,-1.332,0.3223,0.5435,1.451,-0.7417,0.2705
1.149,-0.652,0.6943,1.537,-1.486,0.0651,1.665,-0.3303,-1.528,-0.531
-0.8076,0.3337,0.2428,-0.725,-0.952,-0.2546,0.2445,-1.438,-1.236,-0.8145
0.849,-0.2861,0.576,1.33,-1.39,-0.6255,-1.141,0.3315,-1.882,-0.8286
1.255,1.041,-0.502,0.3848,-0.89,-0.957,1.079,-0.4524,-1.75,-0.7085
-1.743,-0.0685,0.4197,-0.9976,-0.2217,1.175,0.297,0.1586,0.747,0.1354
-0.1677,-1.727,0.873,0.04462,0.8716,1.682,0.618,-1.022,0.9097,-0.2954
0.8003,1.608,-2.611,-1.02,-1.264,1.153,0.9194,-0.821,0.5176,-0.1854
-0.9307,-0.1957,0.5137,-0.707,-0.7847,-0.3538,-0.827,1.679,-1.135,-0.578
0.8403,-0.893,0.729,1.5,0.998,0.4878,0.87,-0.487,0.838,0.2637
-1.406,1.673,-2.818,-1.237,1.561,1.321,-0.639,1.428,0.9272,1.119
-0.8525,-1.014,0.733,-0.5957,1.507,-0.548,0.1142,-0.8735,0.7773,-0.4873
-1.051,-1.574,0.8833,-0.5566,1.058,1.127,-0.07556,1.533,0.8823,1.895
-1.38,0.7197,-0.2307,-1.023,0.5522,-0.4136,1.662,0.865,0.5605,2.22
-1.667,-0.5513,0.654,-0.883,1.198,-1.286,-0.955,0.963,0.496,-0.3884
-1.155,-1.442,0.8223,-0.6167,-1.487,-1.559,1.617,1.638,-2.094,0.1005
-1.608,-0.827,0.7085,-0.8506,-0.523,0.6846,-0.834,0.131,0.5845,-0.5244
-0.598,-0.2297,0.545,-0.5015,-1.409,-1.053,0.02261,-1.066,-1.978,-0.8423
0.911,0.9033,-0.5527,-0.292,-0.8076,-1.003,-1.0,1.38,-1.796,-0.7256
0.9517,-0.1523,0.4763,1.289,-1.629,1.658,-0.00549,-0.4702,0.5415,-0.4836
-0.4404,-0.3503,0.5483,-0.276,0.2534,-0.7656,-0.713,-1.544,0.1296,-0.7705
-0.6084,-0.877,0.742,-0.364,-0.846,1.088,0.5947,-1.286,0.648,-0.506
