V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
-1.685,0.707,-0.3396,-0.0538,1.713,-0.514,0.4678,1.417,0.10913,-0.8027,-0.7227,-0.5933,0.777,-1.435,0.3782
-0.0884,-0.8257,0.646,-0.7295,0.2786,1.11,0.837,-1.752,-0.1462,0.6265,-0.1975,-0.875,-0.2656,1.265,0.4429
-0.5083,0.7407,0.9224,-1.193,-1.5205,1.418,0.3906,0.1782,-1.062,-1.009,0.0326,-0.4343,0.5786,0.5005,-0.3606
-1.335,1.286,0.648,-0.3792,-1.557,0.5938,0.9272,-0.836,-0.3323,1.042,0.8716,-0.84,1.812,-1.684,2.053
-0.151,-1.127,-1.35,-0.9834,0.365,0.783,-1.682,0.03192,-1.172,0.8403,0.1544,1.95,-1.007,1.577,0.8975
-0.963,0.4858,0.9004,-1.089,-0.1458,-0.06088,0.9185,-0.6396,-1.065,1.044,0.806,-0.8667,0.7393,-0.3647,-1.076
0.4614,0.7163,1.549,-0.1593,0.213,1.192,0.363,0.2076,0.2053,-0.355,-1.046,-0.38,0.6777,-0.388,-1.244
-1.187,-0.4238,0.4731,-0.84,0.8237,-1.652,0.7544,-0.437,-0.5806,-0.4211,-1.132,-0.9434,0.04025,-0.1208,-0.7476
-1.464,-1.463,0.4138,-0.1804,0.3062,-1.301,0.7676,-1.437,0.2722,-0.538,-0.9194,-0.77,-1.109,0.1766,0.663
0.873,1.544,-0.632,0.688,0.697,-1.731,0.1089,0.647,0.3955,-0.1656,-1.423,-0.2183,1.227,-1.628,1.717
0.3074,1.109,1.356,-0.3723,-0.1791,1.634,0.3171,-0.01313,-0.097,-1.923,1.906,-0.3928,1.137,-0.638,-0.5015
1.128,-0.366,0.298,1.621,-1.739,-1.166,0.7754,-1.596,1.715,-1.022,-0.3513,-0.8047,0.06635,-0.648,-1.057
0.4675,0.9604,0.6196,-0.1956,0.5566,-0.861,0.8784,0.2227,-0.0852,-1.015,-0.262,-1.269,0.884,-0.632,-1.186
-0.8003,-0.841,0.7046,-1.011,-0.2325,-0.609,0.6724,-1.965,-1.198,-0.3955,-1.225,-0.759,-0.723,1.099,0.995
1.102,-1.142,-0.641,1.367,0.04514,0.2812,0.01883,-1.037,1.473,1.112,0.793,-0.0121,-1.427,0.2441,0.8086
-1.47,-0.501,-0.307,-0.2932,1.535,1.189,0.5967,0.2056,0.2559,-0.4763,-1.294,-0.873,-0.07837,-0.4434,-1.124
1.26,1.406,0.873,1.521,-0.969,-0.4795,0.991,-0.4897,1.488,0.314,-0.9253,-1.1045,1.933,-2.006,2.48
0.2483,-0.6963,-1.311,-0.8057,-1.7295,-0.848,-1.794,-0.369,-0.3901,-1.219,0.5156,1.321,-1.274,1.628,0.9775
0.8125,1.482,0.04874,0.9375,0.979,0.68,0.7725,0.3599,0.982,1.051,0.3755,-0.8765,1.86,-1.619,2.092
0.1621,1.138,1.739,-0.4731,1.474,-0.96,-0.078,2.0,-0.1593,-0.9546,-0.4172,0.2915,0.08246,0.793,-0.7856
-0.01672,0.224,-0.545,-0.8433,-0.5947,0.3938,0.03183,0.03983,-0.7183,1.242,1.151,-0.08386,-0.1276,0.8086,-0.0556
-1.5625,1.49,0.3647,-0.2062,0.2086,0.3916,0.826,-0.7495,-0.1721,1.493,1.727,-0.825,1.843,-1.856,2.473
-1.106,-1.563,-1.06,-0.859,-1.702,1.297,-0.981,-0.06354,-1.174,-1.0205,0.02968,1.845,-1.324,0.7896,1.35
-0.4312,1.101,-1.084,-1.076,-0.9395,1.037,-1.062,0.9194,-1.194,0.0699,-1.362,1.873,0.744,0.6177,-0.607
-1.399,-1.437,-0.4985,-0.1968,-0.3381,-1.1455,0.3845,-1.248,0.235,-0.741,-0.7236,-0.2295,-1.314,0.1768,0.7896
0.2751,-1.095,0.4136,-0.7305,-1.354,-1.076,0.665,-1.713,-0.715,-1.304,0.3167,-0.9136,-0.4727,0.977,0.4297
-0.1183,-0.4155,-1.658,-0.4827,0.77,1.099,-2.492,0.94,-0.06015,0.1981,-0.864,0.4414,-1.154,1.759,0.8877
0.988,0.9297,-1.019,0.9907,-1.404,-0.04855,-0.7134,1.133,0.886,0.9487,0.6694,1.66,0.45,-0.8477,-1.362
-1.72,0.0692,-1.166,0.1447,-0.07104,-1.61,-1.325,0.6016,0.3545,-0.641,-0.6206,1.951,0.1113,-0.8413,-1.139
1.3,0.8,0.22,1.339,1.036,-1.647,0.755,0.7266,1.798,-0.4033,-1.01,-0.75,0.7935,-1.337,0.5913
-1.669,1.406,1.78,0.11414,0.621,-1.061,-0.1941,1.037,0.1897,-1.071,-0.1681,0.645,0.591,-1.445,-0.528
-0.747,0.4556,-1.498,-1.422,1.19,-0.666,-1.877,2.283,-1.924,-0.674,-0.955,1.357,-0.2546,0.803,-0.633
0.3643,-1.546,-1.492,-0.188,0.427,-0.01878,-2.05,0.2593,-0.0267,1.258,1.117,0.794,-2.002,0.7593,0.85
0.2101,-0.909,-0.6807,-0.4492,-1.692,-1.351,-0.1259,-0.943,0.2452,-0.8154,-0.9453,0.4314,-1.785,1.356,1.378
-0.2883,-0.2698,-0.2556,-0.9927,-1.595,-0.3464,0.5645,-1.221,-1.147,-0.02379,-0.9434,-0.5537,0.0634,1.052,-0.01814
-0.2573,-0.1592,-1.488,-1.0205,-1.071,-0.285,-2.074,0.801,-1.083,0.3618,-0.7017,0.9644,-0.9097,1.792,0.3726
