V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
0.844,0.159,0.3875,-0.1461,1.381,0.5083,0.2832,1.331,-0.736,1.445,0.6797,-0.9473,-1.092,0.819,-0.9478
-0.5986,0.57,-1.074,-1.388,-0.966,1.214,1.546,1.365,1.617,-1.314,1.607,0.9697,-1.437,-0.8755,1.644
1.605,-1.245,-1.73,0.0209,0.9526,-0.3037,0.7944,-1.034,-0.75,1.583,0.408,0.9907,-0.8354,0.2324,1.139
-0.9316,0.6826,-0.08014,1.224,-1.158,1.651,-1.679,0.10077,1.653,-0.1477,-0.5767,1.677,-0.9077,-1.921,-1.069
0.836,0.7983,-0.987,-0.364,1.296,1.146,0.559,-0.4185,1.466,-0.49,1.12,-0.6255,0.9673,1.933,-0.4775
-0.929,1.149,0.5557,0.735,-1.042,0.618,-1.322,0.10333,-0.409,0.4502,-0.6074,1.561,-2.18,-0.7637,-0.2081
1.64,-1.033,0.7954,-0.875,0.89,-0.3708,0.4348,-0.5527,-0.7075,0.2177,-0.1313,-0.7744,0.2502,0.4011,-0.857
-1.618,-1.207,1.167,0.2128,-0.9497,0.3008,-0.3345,-0.4197,-1.136,1.495,-0.9224,0.12115,-0.9844,-0.7866,0.3923
-1.068,-0.3674,-1.577,-1.144,-1.228,0.0816,0.95,1.511,-1.238,-1.719,1.425,1.485,-1.385,-0.9434,-0.1622
0.7563,-1.448,0.663,-0.541,1.091,-0.743,0.538,-0.9717,-0.144,-1.619,0.5356,-0.814,1.55,0.6626,-1.205
-1.294,-0.5566,-1.351,-0.974,-1.099,-0.966,0.952,-1.41,0.0799,-0.153,0.3813,-0.7285,1.099,1.418,-0.768
1.162,1.091,-1.48,1.303,1.44,0.8135,-0.1311,1.256,0.3428,-1.055,0.681,-1.578,1.546,-0.02966,-1.276
1.614,0.6777,-0.853,-1.251,0.9062,1.346,1.448,-1.525,1.836,1.121,-1.207,-1.18,-0.148,0.4146,-0.929
-1.322,0.1482,1.413,0.873,-1.029,0.3499,-1.63,-0.911,-1.078,-1.562,0.8193,0.1641,-0.1753,0.2703,0.2708
-0.2401,1.725,-1.711,1.131,-0.495,-1.733,0.2524,-1.063,-0.684,0.1951,1.593,-1.147,0.0894,0.681,-0.7324
-0.9795,-1.001,0.618,-0.3362,-1.06,-0.3755,0.4204,0.8643,-0.71,-1.148,-2.064,1.051,-0.4402,-1.237,0.697
0.7417,1.452,0.4583,-1.314,1.204,-0.08215,0.874,-0.2654,-1.056,-1.742,0.9067,-1.628,1.35,-0.2952,-1.345
-1.609,-0.03036,-1.072,0.246,-0.9985,0.1437,0.4177,0.5654,-1.22,-1.677,-0.7666,-1.061,-0.466,-0.1969,-0.829
1.292,0.03998,0.4343,1.592,1.344,-0.09216,-1.4375,1.327,-1.112,0.7925,-0.02829,1.608,0.655,0.0213,0.1721
-0.09406,0.7856,0.933,-0.7563,-0.3733,1.242,0.4937,-0.3076,1.694,-1.648,0.9966,0.7974,0.4407,0.6016,1.751
-1.319,-0.5005,1.348,-0.2803,-1.046,-1.274,0.4485,-0.782,-0.1028,-1.551,0.9883,0.7905,-0.643,-0.92,0.776
-1.619,0.6846,-1.15,1.1875,-0.924,1.355,-0.444,1.351,1.813,0.269,0.3708,0.05563,0.3884,-0.6846,0.06396
0.6235,0.8115,-1.516,-0.675,0.881,1.407,0.6826,-1.402,1.874,0.09406,-0.1183,-1.733,1.495,1.458,-1.494
-0.656,-1.003,-0.9995,-0.7544,-0.97,-0.913,0.8247,0.4058,-0.005,0.6094,-0.7676,0.2764,0.2556,-1.201,0.3616
0.5396,-1.486,-0.5938,-1.33,0.7603,-0.964,1.566,1.312,-0.0553,-0.2993,-0.10236,-0.7534,0.3533,1.102,-0.7236
-1.484,1.249,0.02748,-0.4475,-0.977,1.471,0.466,-1.523,1.877,0.283,0.6636,-1.25,1.985,1.151,-0.957
-0.2319,-0.5073,1.193,-0.8857,-0.6396,-0.716,0.3777,0.59,-0.1635,1.116,-1.685,-0.496,-0.0878,-0.662,-0.8726
1.303,0.1843,-1.141,1.096,1.352,0.647,-0.5225,-0.568,-0.3298,0.0792,0.3665,0.4905,0.2756,-1.474,1.543
-0.03305,-0.2822,0.913,0.88,-0.3472,-0.2551,-1.504,-1.36,-0.7827,-1.222,1.525,-1.56,-0.3044,0.2632,-1.266
1.143,0.7935,1.035,0.877,1.443,1.271,-1.573,0.5273,1.721,-0.2372,-0.2189,-1.035,1.295,1.65,-0.863
0.683,-0.8115,-0.4236,0.4807,0.997,-1.217,-0.588,1.566,0.03354,1.21,-0.942,-0.5796,-0.4695,-0.5312,-0.672
-0.6514,-0.04858,-1.645,0.4321,-0.9976,-0.2043,1.072,-0.4255,-1.002,1.355,1.373,0.895,-0.0658,-0.2074,1.149
-0.2354,-1.593,1.018,-1.158,-0.305,-1.232,0.305,-1.345,-0.11633,-0.336,0.7046,-0.02048,0.0484,-0.010796,-0.4253
0.4338,0.0397,-0.4282,0.3225,0.7603,0.2222,-0.3762,0.1469,-1.1455,0.3123,-1.173,-0.1299,0.2406,-0.719,-0.4414
-0.5635,1.486,-1.459,-1.354,-1.123,-0.6187,1.217,-0.1406,-0.417,1.464,1.136,0.2961,0.2534,-0.04398,0.2418
-0.5386,0.8315,0.7964,0.591,-0.916,1.359,-1.045,0.915,1.833,-0.02707,-0.553,0.9717,-1.378,-1.249,1.957
-1.25,-0.7603,-1.358,-0.05606,-1.047,-0.717,0.9365,0.549,-0.11566,-0.8276,-0.4258,-0.2085,-0.000448,0.9453,-0.3186
-0.8545,1.687,-0.5786,1.59,-1.165,-1.772,-1.382,1.241,-0.792,-0.0874,0.0318,0.7705,-1.513,-0.837,1.266
0.4163,1.404,1.455,-0.2368,0.711,-0.1461,0.4426,0.858,-1.057,-0.3926,0.551,-1.69,1.048,1.082,-1.427
0.2617,1.662,0.631,-1.246,0.2715,-2.102,0.6763,-0.374,-1.139,0.0897,0.758,0.234,0.94,-0.6284,0.3555
1.125,-1.481,-0.6934,1.012,1.447,-0.476,-0.7856,0.4543,-0.475,-1.009,-2.28,-1.245,2.596,-0.6553,-0.971
