V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
-0.2253,-0.88,-0.564,-0.0556,1.167,1.443,0.782,0.937,-1.237,-0.518,0.915,0.31,0.5864,0.625,0.4329
1.402,0.1832,-1.543,-0.5063,-0.662,-0.1567,-0.58,0.6973,0.1311,0.06082,1.104,0.5806,0.2947,0.8667,0.2404
0.816,0.05725,0.9473,-0.06494,-0.1569,1.032,0.4434,0.923,0.4011,-0.401,0.6064,1.742,0.437,0.1964,0.9663
0.5806,-0.1091,-0.1694,0.9277,-0.121,0.965,1.323,-0.183,-0.1815,1.194,0.6665,0.3213,0.10266,0.2957,0.3086
-0.858,0.939,0.3777,0.02579,0.3992,-1.395,-0.981,-0.1302,-0.1392,-0.2917,0.02055,-0.6963,-0.2888,0.337,-1.1045
-0.437,1.625,0.5996,1.664,1.092,-1.557,0.04205,-1.275,0.759,1.971,0.2812,-0.1925,1.092,1.282,0.3728
0.3423,1.807,0.9604,1.344,-0.9395,-0.2335,-0.0769,-1.097,-0.6475,-0.011024,-0.601,-1.097,0.1498,0.4236,0.37
-1.695,-2.346,-1.101,-0.1027,-0.3628,-1.364,-0.1489,-1.562,-2.178,-1.844,-0.9805,-1.608,-1.231,-2.379,-2.006
0.9277,1.154,-0.32,0.0686,0.391,-0.2852,-0.6436,-0.3474,1.857,1.19,0.06854,0.19,0.0855,0.8667,0.6055
1.047,-0.7085,1.817,0.3528,-0.3796,0.9263,2.09,0.634,-0.2488,0.0223,-0.04166,0.9824,0.47,-0.1166,0.8657
-1.439,-1.099,-1.245,0.08386,1.1045,0.713,0.4832,1.013,-0.5664,0.221,-1.46,0.1997,-1.25,0.916,1.016
-1.584,-1.401,0.686,0.334,0.05856,-0.604,-0.3933,-0.968,-0.9146,0.5117,0.5195,-0.9214,-0.823,-1.479,-1.157
-0.2659,0.626,-0.5107,-1.335,-0.1328,1.334,-1.565,0.703,0.5605,-0.2343,0.8213,0.574,0.8,1.119,0.9297
1.601,-0.555,0.702,1.536,0.7056,0.5513,0.7705,0.4368,1.15,0.1411,-0.43,0.898,0.2389,-0.03119,0.6895
1.514,-0.03044,0.4746,-0.7773,0.8115,-0.2473,-1.786,-0.4976,0.628,-0.616,-1.135,0.593,-0.1724,0.622,0.494
1.256,1.197,1.447,0.5327,0.7114,-0.8984,0.213,-0.2244,2.598,1.907,0.609,1.054,0.1941,1.305,1.011
0.634,0.31,1.03,-0.002901,0.869,0.1979,0.4739,1.167,-0.01472,-0.0402,-1.98,0.964,1.285,1.001,0.6304
-1.248,-0.9175,-1.144,-0.526,-0.3071,0.05423,-1.625,0.2029,-1.208,-0.6455,-0.3003,0.02968,-1.193,-0.7295,0.473
0.09595,-0.1865,-1.383,-0.4775,0.4583,-0.7197,-0.3962,-0.6597,-0.3958,0.4517,0.535,-2.049,-0.8936,-1.25,-1.632
1.234,-0.5337,1.667,2.791,0.4846,-1.444,0.3945,-2.19,0.933,1.61,-0.4067,-0.6895,0.663,-0.8945,-1.495
-1.109,-0.4753,1.595,0.892,1.012,0.7744,0.8296,-0.00109,0.3308,0.7627,-1.523,0.5527,-0.1702,0.1497,-0.0453
-1.528,-1.815,-1.401,-1.583,-0.0847,-0.5493,-1.414,-0.02386,-0.7285,-1.134,1.768,-0.9106,-0.1461,-1.158,-0.549
0.7515,-0.5186,1.315,-0.1908,-1.048,1.657,1.013,-0.316,1.864,1.544,0.646,0.2834,1.273,0.1471,0.1973
1.504,0.7534,-0.646,0.4724,1.421,-0.1233,-0.006157,-0.2805,0.1355,0.687,0.69,-0.432,1.104,-0.696,0.503
-1.578,-1.872,0.4927,1.53,-0.776,0.6826,0.4387,-0.1498,-1.1,-0.01912,-1.305,-1.31,-0.802,-0.627,0.2664
1.182,1.761,-1.474,-0.5054,-1.317,0.5576,0.3079,0.8384,1.02,-0.723,-1.7,0.695,-0.5566,0.08813,1.194
-0.957,0.1043,-0.556,0.1793,0.1659,1.493,-1.05,0.8145,-0.4304,-0.8154,0.3706,-0.04214,-1.364,0.2375,-0.1378
1.089,-0.1969,0.97,-1.176,1.415,1.156,-0.01515,0.01761,0.799,1.377,-0.6265,1.283,0.4612,0.544,0.8755
-0.3428,-2.154,-0.984,0.57,-0.1744,1.2295,-0.7305,0.1324,-0.5303,1.393,1.319,0.5005,0.6084,-0.939,-0.02507
-0.355,-0.1501,-0.1018,-0.691,0.3867,-0.05594,0.591,0.824,-0.9277,0.5894,-0.3555,1.349,-0.1278,1.053,0.593
1.125,0.935,-0.5938,-0.2333,-0.398,-1.401,1.409,-0.8447,1.18,-0.2637,0.9346,0.1576,0.7563,1.077,0.5967
0.777,0.835,-1.338,-0.1716,-0.863,0.3435,-0.2119,0.9165,1.408,0.3708,-0.474,0.2947,0.407,-0.4949,-0.3108
1.17,-0.532,0.3794,-0.4475,-0.981,1.663,-1.325,-1.863,0.1357,0.0666,-0.6553,-1.665,-0.46,-1.402,-1.236
0.2798,1.708,-0.31,0.5547,1.504,0.726,-2.965,0.2352,0.3157,0.4521,-1.206,0.551,-0.1816,0.955,-0.02155
-0.659,-1.109,0.416,-1.167,-1.395,-0.8975,1.759,0.471,0.1163,-1.865,-0.691,0.3054,-1.195,0.156,0.3354
1.108,2.09,0.4414,0.6494,-0.594,0.11414,1.794,0.1017,0.2097,-0.5347,-0.714,0.1454,0.6455,0.7993,0.3262
-1.136,-0.404,1.306,0.1029,0.2175,1.297,1.408,-1.342,-0.4695,0.707,0.951,-0.8164,-0.1508,0.3755,-1.288
1.779,0.2678,0.5044,0.0724,0.2778,-0.512,-0.0798,-2.424,0.7866,-0.3008,1.944,-1.679,0.555,0.2019,-1.143
-0.671,-1.164,-0.1725,1.174,0.5366,-0.9927,1.038,-0.6577,0.10126,-0.842,-1.944,-0.6143,-1.29,-0.696,0.2925
0.9766,2.576,1.452,1.414,-1.436,0.3171,0.878,0.8774,1.996,0.856,0.06396,1.2295,0.01862,1.355,0.632
0.9136,1.0,-0.225,-0.534,-1.269,0.653,1.08,0.1224,0.2266,-0.746,-1.613,0.3735,0.7114,1.653,0.7275
0.9336,0.1647,-1.518,-1.726,0.3716,-0.1505,-1.701,0.4858,0.0717,-0.829,0.921,-0.2058,0.516,-0.2369,-0.359
-0.4114,-1.031,0.7197,1.429,-1.321,1.081,0.1727,0.517,0.4102,0.9404,-0.1864,0.4565,0.6133,0.4944,1.213
-1.4795,-0.5303,-0.8574,0.108,-0.6484,0.129,-0.3518,0.4177,-0.8945,-0.677,2.17,-0.06094,-1.452,-0.04886,0.8135
1.197,1.189,-0.7305,-0.2393,-0.1478,-1.105,-1.453,-0.4294,1.103,-0.6133,0.2864,0.16,1.075,0.6587,0.2666
-0.845,-0.2693,-0.9346,-1.212,0.07733,-0.072,-1.691,-1.496,-0.753,-1.859,-0.0268,-1.391,-0.4736,-1.009,-0.9985
-0.2983,-0.5815,-0.5645,-0.6284,1.504,-0.2408,-0.2484,-1.677,0.2015,1.242,-0.5947,-0.4746,0.1426,-0.5405,-1.429
-0.07306,0.525,0.4268,-0.7896,-0.6025,-0.08954,0.931,-1.644,-0.2406,-1.121,0.8594,0.747,-0.4517,0.7715,0.5977
-1.154,-0.841,-0.693,0.0,-0.05234,-1.297,-1.131,-1.502,-0.2289,-0.2374,-0.03674,-1.834,-1.077,-1.59,-0.6797
-0.863,-1.222,-0.8857,0.554,-0.9985,1.086,0.158,0.3555,-1.543,0.8755,0.9517,-1.13,0.5825,-0.1268,0.0678
-0.3672,-0.2217,0.279,1.085,-1.303,0.2014,0.752,-1.404,-0.0506,-0.7876,0.1731,-0.606,-1.021,-1.805,-1.6
0.521,-0.654,-1.539,-1.67,-1.709,-1.209,-0.309,0.2878,-0.5366,-0.731,-2.879,0.1769,-0.4841,-0.5728,-1.033
1.362,1.553,1.813,0.0973,-0.3005,0.02571,0.6655,0.8184,1.056,0.04465,0.8496,2.354,3.084,0.741,1.288
0.35,0.798,-0.0325,-0.4976,-1.175,0.701,1.081,0.521,-0.5054,-1.033,-0.8384,0.613,0.3655,1.178,1.024
-0.816,-1.545,1.739,2.75,-0.648,-1.388,1.346,-3.115,-0.07874,0.8975,1.787,-1.477,-0.264,-2.447,-2.053
1.179,1.256,0.2603,0.3162,0.1597,-1.689,1.45,-1.821,1.847,0.1008,-1.002,-0.1768,1.4375,-0.02954,0.07733
1.024,1.092,-0.02902,1.214,1.029,1.261,-0.838,-0.3494,1.585,0.2246,1.208,1.119,1.154,1.452,1.147
-0.46,-0.421,0.01255,1.884,-0.583,-0.4858,-0.782,-0.9883,-2.277,-0.5522,-0.8726,-1.513,0.5625,-1.471,-2.143
0.317,-0.7593,0.906,-0.513,-1.345,1.411,-0.00933,1.81,-1.241,0.3318,-0.01944,-0.1008,-0.2825,-0.3926,0.57
1.0205,-0.372,0.4985,-0.6543,-1.568,-0.8794,0.68,-0.4272,-0.1958,0.6333,0.7144,-0.8735,1.013,0.386,-0.01566
1.202,-0.2566,1.809,-0.3174,0.7407,-0.2435,0.4114,0.1676,0.5566,0.4722,-0.166,-0.182,0.5327,-1.089,-0.5986
0.939,1.0205,1.436,-0.4165,1.197,0.49,1.083,0.2319,1.17,1.119,0.8047,1.319,1.169,2.924,2.281
0.4866,-1.314,-0.1461,0.557,1.418,-0.5103,-0.7383,0.1346,0.0233,-0.3662,-1.722,-0.1832,-0.02997,-0.08795,-0.13
-0.648,-0.403,0.6533,1.177,-0.733,-1.35,-1.602,0.5366,0.1348,0.681,0.0735,-1.285,-0.95,-0.559,-0.8574
0.3042,0.05038,1.091,-0.0918,-1.014,1.579,-1.349,0.479,-0.596,-0.3665,-0.476,0.2147,-1.009,-0.4548,0.1527
1.311,1.9,-1.54,-1.534,1.09,0.415,-1.033,0.661,1.757,0.47,-0.995,0.9326,0.828,0.919,0.747
0.145,1.21,0.7007,1.415,0.7495,-1.442,0.1877,1.236,-0.09155,0.0361,0.607,-0.562,0.2715,0.2617,-0.5176
-1.565,0.4185,0.4624,0.666,-0.566,-0.888,-0.01065,-2.209,-0.655,0.05676,-2.697,-1.781,-1.405,-0.06006,-1.153
-0.213,1.449,-1.438,-1.18,-0.2876,1.405,-0.945,0.575,1.514,-0.0004869,-0.391,0.434,0.4836,0.1787,0.4937
-1.275,-0.784,-0.812,-0.1705,-0.8022,1.47,-0.05133,0.633,-0.4644,-0.2406,0.4836,-0.4407,0.3215,-0.2274,-0.6914
0.1466,-0.2467,-0.2083,0.691,1.408,-1.596,0.84,0.0455,0.5874,0.1835,1.1875,1.237,1.105,0.836,0.3833
0.9795,-0.2233,1.149,0.6924,-0.9224,0.1054,1.073,0.4985,0.549,0.195,-1.082,1.876,-0.2625,0.7036,1.461
1.432,0.4094,-0.03046,0.1886,1.326,0.5728,1.16,-0.372,-0.0588,1.893,-0.745,0.006268,1.31,-0.2888,0.11884
-1.134,-0.8037,-0.1131,1.286,1.598,0.7646,-0.5977,1.337,-0.4543,-0.8833,-0.2747,2.03,0.665,1.271,1.486
0.105,-0.09045,-0.9688,-0.9683,0.03336,-1.354,0.5723,1.069,0.8174,-0.0587,-0.04016,0.735,0.506,-0.5967,0.1693
0.2107,0.335,-0.4426,-1.466,1.218,-1.364,-0.988,-0.0086,1.467,-0.4536,0.5557,0.358,-1.698,0.1434,0.541
1.157,1.343,-0.0737,0.593,0.8076,1.476,0.8755,0.892,0.687,0.7734,0.5273,0.5093,0.516,0.685,0.0174
-1.378,-0.4797,-0.885,0.1024,1.611,0.3486,-0.3755,-0.6426,-1.965,-1.403,-0.12195,-0.5576,-0.2089,0.10724,-0.3562
