V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
-1.101,0.3552,-1.651,-0.9507,-1.653,1.574,-0.5146,0.3743,-1.278,-1.357,-0.6714,1.354,-1.216,0.348,-0.06396
0.828,0.09906,-0.603,-0.3875,-0.397,-0.9434,-0.975,-1.071,-0.4355,-1.293,-0.8164,-0.8965,-0.2935,-0.625,-0.2942
-0.587,-0.1439,-0.0677,-0.746,0.7324,-0.2198,-0.687,-0.4167,0.1672,0.2625,-0.847,-0.9727,-0.4524,-0.594,-1.049
-1.685,1.049,-1.637,0.2598,0.1232,-1.036,-0.4495,-0.9175,-0.469,-1.672,-0.3052,1.167,-1.774,0.366,-0.0202
1.327,1.437,-0.358,2.14,0.532,-0.8267,-0.7256,-0.4849,0.001736,0.9375,0.05338,-0.892,0.8516,-0.2483,0.1511
0.2861,-0.5356,-0.3828,0.2482,0.7515,-0.154,-0.8276,-0.51,0.1725,-1.444,-0.579,-1.166,-0.9478,-0.2625,-0.6045
1.743,-1.631,-0.781,0.817,0.4905,-0.673,-0.7466,-0.785,-0.082,0.7495,-0.176,-0.5825,0.943,-0.2642,0.4978
-1.001,1.661,1.627,1.746,-1.62,1.801,2.277,2.684,1.576,-0.658,1.168,2.182,-0.633,0.843,0.546
0.0612,0.386,1.002,-1.064,0.2634,-1.127,0.716,-0.4475,-0.0786,-0.4067,-0.3552,0.4387,-0.519,-0.571,-0.007996
1.168,-1.743,-1.23,1.541,-0.0694,-1.025,-0.7603,-1.015,-0.512,0.0322,-0.947,0.1197,0.4705,-0.64,0.4717
1.572,-0.3484,-0.598,-1.106,0.4294,-0.672,-0.7925,-0.529,-0.05118,-0.8457,-1.065,-0.8516,0.3198,-0.4817,0.1511
1.732,0.2494,1.228,0.0963,1.33,1.051,1.315,1.637,1.328,-1.652,0.749,0.8916,0.04697,0.634,1.052
-0.535,0.9873,-1.441,1.237,-1.454,1.331,-0.742,0.12415,-1.017,-0.4348,-1.106,0.777,-0.595,-0.404,-0.09845
-0.1945,0.6797,-0.656,-0.7905,0.2627,-1.051,-0.949,-1.18,-0.0317,1.383,0.757,-0.893,0.6196,-0.1344,-0.476
0.8887,1.524,-0.6597,1.67,0.3489,-1.176,-1.003,-0.8677,0.135,0.7485,-0.2133,-0.7065,0.5293,-0.4854,-0.00775
0.899,-1.253,0.6494,-0.622,1.652,1.834,-0.01413,1.616,0.5234,-0.2273,-0.845,-0.2334,-0.0755,-0.1109,0.009735
0.2416,0.555,-0.7563,-0.3938,1.3955,1.409,-1.005,0.8853,0.812,-0.852,-1.143,-0.6045,-0.4775,-0.2092,-0.447
-1.513,-0.9233,-1.626,-1.088,0.9146,-0.0777,-0.511,-0.174,0.1238,1.069,0.278,1.321,-0.1941,-0.0575,-0.3167
-1.674,-0.8174,-1.505,-1.279,0.1555,-0.73,-0.6357,-1.016,-0.2974,1.26,0.6123,0.8887,-0.183,-0.269,-0.4507
1.387,-1.519,0.2318,-0.1337,1.532,1.468,-0.4185,1.323,0.3987,-0.968,-1.0205,-0.6294,0.132,-0.1139,0.02081
-0.743,1.028,-0.954,0.3977,-0.886,-0.2703,-0.9414,-0.5728,-0.547,1.569,1.077,-0.3384,0.777,0.1571,-0.4731
-0.1242,-1.318,1.436,-0.0969,-1.341,0.7666,1.888,1.53,0.7607,0.6,1.295,1.559,0.4878,0.315,0.6772
-0.464,-1.525,-0.0517,-0.05353,-0.5093,-1.064,-0.603,-0.823,-0.6704,0.4067,-0.6206,-0.946,-0.2162,-0.6694,-0.9326
-1.111,-0.5522,1.054,0.1796,-0.774,-0.5815,0.9956,-0.459,-0.4482,-1.146,0.091,0.583,-1.476,-0.0925,-0.2483
-0.982,1.184,-1.731,1.142,-0.3394,-0.893,-0.153,-1.192,-0.709,-1.239,-0.5527,1.448,-1.247,-0.143,0.2126
-1.594,-0.01024,-1.121,-1.154,-1.674,1.68,-0.8027,0.6997,-1.011,-1.378,-0.7466,-0.02759,-1.488,0.2585,-0.7783
-1.458,-1.11,-1.557,-1.326,0.9756,-0.1383,-0.4766,0.02707,0.03638,0.874,0.03552,0.7344,-0.4783,-0.2024,-0.356
0.7144,-1.316,-0.1394,0.152,-1.032,0.2102,-0.501,-0.645,-0.989,-0.331,-0.9844,-1.053,-0.07355,-0.7104,-0.396
-1.025,1.589,-1.006,2.568,0.2416,-0.934,-1.081,-0.9795,-0.0334,1.432,0.869,-0.3406,0.3718,-0.2168,-0.6655
0.905,-0.002436,-0.3174,-1.046,0.4155,-0.8853,-0.6772,-0.8667,-0.1456,0.03577,-1.005,-1.04,0.2585,-0.7134,-0.4197
-0.01938,-0.552,0.7607,-1.065,0.5986,-0.8125,0.3074,-0.3953,-0.03217,-0.3748,-0.6245,-0.2455,-0.509,-0.6777,-0.3315
-0.3528,-1.603,-0.1367,-0.2179,-1.566,1.651,-0.6724,0.3877,-1.251,1.456,0.905,-1.037,0.7085,0.2847,-0.6846
0.0861,1.3545,0.727,2.145,-1.526,1.1455,0.369,0.418,-1.099,0.2073,-0.42,-0.11633,-0.1298,-0.458,-0.10895
-1.036,-1.048,1.648,-0.256,0.2435,-1.102,2.504,1.492,3.154,-1.42,1.905,2.096,-0.1853,1.255,0.628
-1.506,0.2041,-1.5205,0.010506,-0.00366,-1.099,-0.7324,-1.254,-0.4368,-0.7197,-1.064,1.014,-1.167,-0.4348,-0.2942
0.856,0.2224,-1.838,-0.29,0.807,-0.06177,-0.1489,-0.2744,-0.03604,1.568,1.443,1.63,1.781,1.152,2.033
1.224,-1.493,0.8755,-0.286,-1.24,0.3186,0.7803,0.0391,-0.7236,0.05893,-0.1766,0.1927,0.1747,-0.4495,0.4575
-1.167,-0.6816,-0.229,-1.577,0.4207,-0.8574,-0.6626,-0.926,-0.1164,-0.979,-1.016,-1.228,-1.109,-0.572,-1.153
-0.1096,1.296,-1.347,0.671,-0.5767,-0.6265,-0.7104,-0.921,-0.7217,1.436,0.809,0.4846,0.672,-0.03455,0.1803
1.19,1.451,1.339,1.781,1.163,0.705,1.579,1.605,1.568,-0.01897,0.5293,1.299,0.2228,0.285,0.975
-1.308,0.614,1.052,-0.586,1.122,0.2947,1.057,1.081,0.875,-0.826,-0.03528,0.4312,-1.449,0.213,-0.261
0.47,-0.1305,1.48,-1.154,-0.01955,-0.866,2.062,0.51,1.805,-1.17,1.18,1.843,-0.2496,0.3486,0.8984
-1.365,-1.725,-0.03348,-0.322,0.855,-0.6064,-0.7134,-0.2974,0.0776,0.05685,-0.9385,-1.143,-0.737,-0.609,-1.29
-0.2421,-1.232,-1.799,0.212,0.3044,-0.9604,-0.2411,-0.817,-0.5015,0.9043,0.09247,1.758,0.1722,-0.2018,0.486
1.564,1.508,0.1716,1.331,1.201,0.652,-0.4092,0.2656,0.127,-1.067,-0.878,-1.085,0.04965,-0.379,0.03995
-0.944,-1.622,0.3977,0.1859,-0.5493,-0.989,-0.1478,-1.1455,-0.9873,-0.362,-0.8,-0.657,-0.777,-0.7944,-0.9385
0.6963,1.375,1.668,0.627,-0.723,-0.6226,2.596,1.921,2.738,0.9507,2.486,2.299,2.662,3.04,3.125
