V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
-1.2295,1.262,-0.594,0.3716,0.9287,-1.658,1.665,-1.504,0.534,-1.323,-1.82,0.518,1.674,-2.61,-1.838
-0.538,1.07,0.776,1.107,0.02892,1.135,-0.893,0.6895,0.372,0.0359,0.487,0.5327,-1.408,0.3098,1.066
0.1793,-0.01985,-1.134,-0.661,-0.2423,1.668,-0.8955,1.386,-0.849,1.187,1.055,-0.63,-0.9336,0.86,0.671
-1.525,1.18,-0.762,-0.05563,1.91,-1.5,1.8545,-2.877,1.528,-2.006,-0.8145,0.4011,1.502,-2.316,-2.299
-0.1167,0.29,-0.02098,0.9854,-0.3708,-0.599,0.2021,-0.2725,-0.4717,0.0741,-0.3223,0.4062,-0.4912,0.10077,0.266
0.8535,-0.905,-1.382,-1.877,-0.6,-0.5957,0.6494,0.1747,-0.968,0.2327,-1.268,0.1107,1.655,-0.7036,-0.3062
1.296,-1.366,-0.735,-1.902,-1.376,-0.9546,1.284,-1.049,-0.8447,0.816,-1.706,0.1503,1.46,-0.9004,-1.203
0.1445,-0.1412,0.9824,0.7744,-0.897,-0.886,0.963,-0.885,-0.2045,-0.4722,-1.36,0.499,0.751,-0.3884,-0.746
1.679,-1.13,-0.236,-0.7026,-1.111,-0.4048,0.136,0.5356,-1.061,1.083,-0.2524,-0.3918,-0.12445,0.8193,0.2069
1.649,-1.404,-1.152,-2.059,-0.781,0.02577,-0.555,1.429,-1.017,1.202,0.6655,-1.153,0.02461,1.246,0.1509
0.2394,-0.1642,-1.707,-0.932,-0.164,0.6304,-0.975,0.7188,-0.883,1.131,0.8667,-0.4492,-0.545,0.9155,0.839
1.73,-1.575,0.5083,-0.5557,-1.184,0.1802,-0.51,-0.128,-0.844,1.183,1.045,-0.7,-0.9673,1.234,0.1351
1.459,-1.315,-0.3752,-0.8,-0.755,-0.3335,0.0805,0.015526,-0.928,0.3108,-0.1787,0.292,0.3232,0.6665,0.104
-1.448,1.327,0.4983,1.21,1.842,1.3,-0.7466,0.1733,2.094,-1.052,0.9834,1.063,-0.3586,-0.3577,0.9478
1.727,-1.29,-0.03152,-0.65,-1.073,0.9727,-0.6353,0.2203,-1.004,1.392,0.03084,-1.698,-0.325,1.371,-0.73
0.1812,0.0211,-1.636,-0.672,-0.3057,0.7217,-0.627,1.429,-0.8184,1.115,0.474,-0.589,-0.5796,0.998,0.5254
0.1923,-0.1625,-0.2122,0.5767,-0.2622,-0.441,0.3208,0.2174,-0.4285,-0.1565,0.5327,0.3406,-0.9893,0.5884,0.6973
1.676,-1.582,1.077,-0.3867,-0.2769,0.7417,-0.797,0.2286,-0.2235,0.687,0.3306,-0.1764,-0.7095,1.054,0.7017
-1.5,1.088,-1.171,-0.5117,2.459,-1.051,1.254,-1.35,1.948,-1.898,-0.7466,0.8857,2.365,-2.543,-1.443
-0.9585,0.9893,0.627,1.137,0.936,-1.425,1.691,-2.027,0.6006,-1.215,-1.302,0.05215,0.9614,-1.4795,-2.244
-0.8735,1.204,1.675,1.494,0.1768,-1.75,1.745,-2.268,1.719,-1.483,-1.815,0.848,1.302,-2.318,-2.404
-0.344,0.896,1.107,1.224,-0.5073,-0.5073,0.3577,-0.1831,0.504,-0.5083,-1.601,0.633,0.6567,-0.434,-0.7183
-0.4658,0.464,0.758,1.424,-0.7563,-0.364,0.00304,-0.11945,-0.1779,-0.06903,-0.9106,0.502,-0.03635,0.3027,0.2996
-0.2272,0.843,1.364,1.165,-0.1738,0.4365,-0.592,1.411,0.863,-0.2627,0.4666,0.2644,-0.9624,0.4124,1.036
-0.4753,0.8945,0.8755,0.9683,-0.888,1.127,-1.126,1.115,0.1351,0.6387,1.42,-0.001088,-1.648,0.608,1.551
1.597,-1.51,-1.684,-2.195,-0.8896,0.8066,-0.871,-0.1426,-1.118,1.529,1.662,-2.482,-0.1442,1.226,-0.9424
-0.621,0.7495,0.6304,1.337,0.1608,-0.242,-0.253,0.585,0.05652,-0.5566,-0.687,0.599,0.2666,-0.05014,0.644
1.614,-1.649,-0.8804,-1.852,-0.545,1.1,-1.07,0.2246,-1.219,1.554,1.853,-1.953,0.06494,0.9717,-0.3687
-0.9385,0.8496,0.819,1.338,0.785,-0.84,1.069,-1.581,0.5054,-1.231,-0.5947,0.5054,0.7217,-0.773,-0.852
-0.3354,0.5386,0.2455,0.941,-0.1827,0.6484,-0.9688,0.558,-0.602,1.015,1.022,-0.5815,-1.889,0.961,0.6987
0.6074,-1.003,-0.03,-0.4783,-0.636,0.2815,-0.6807,-0.11865,-1.119,1.319,0.6367,-1.107,-0.8965,1.243,-0.2054
1.294,-1.301,-1.04,-1.931,-1.111,1.362,-1.147,0.821,-1.101,1.834,1.511,-3.12,-0.04495,1.064,-0.9194
-1.506,1.297,-0.2625,0.688,1.924,1.281,-1.086,1.748,1.982,-0.8735,0.7783,0.5557,-0.405,0.0899,1.297
-1.11,1.111,1.497,1.288,0.784,0.1592,-0.7324,1.245,1.367,-1.019,0.819,0.484,-0.4717,0.2023,1.01
-1.415,1.31,-1.442,-0.7363,1.756,-1.026,1.491,-1.339,1.83,-1.505,-0.9556,0.753,2.385,-2.82,-1.002
0.529,-0.762,1.404,-0.01086,-0.412,0.5347,-0.5874,1.005,0.1724,0.2452,-0.136,0.139,-0.78,0.843,0.918
-1.2,1.01,1.207,0.962,0.9927,-0.1686,-0.53,-0.2976,1.13,-1.397,0.02509,0.719,0.1776,-0.2249,-0.0199
1.031,-1.539,-0.4639,-1.087,-0.2559,-0.8843,0.8984,-0.598,-0.9526,0.469,-0.7373,-0.169,1.077,-0.0672,-0.5503
0.503,-0.74,-1.361,-1.771,-0.04605,0.787,-0.9414,1.042,-0.6885,0.71,1.114,0.2218,0.1022,0.613,1.195
0.3872,-0.4963,-0.5654,-0.6367,-0.3599,0.3386,-0.481,0.9463,-1.017,0.8623,-0.3965,0.01825,0.02618,0.703,0.3447
1.3,-1.352,1.646,-0.2351,-0.51,-0.696,0.6953,-0.399,0.56,-0.8467,-0.6787,0.853,1.306,-0.7417,0.3582
-1.647,1.175,0.8794,1.402,3.375,-1.165,1.06,-1.07,2.492,-2.402,-0.5015,0.571,0.612,-0.7646,-0.9023
-0.594,0.932,-1.216,-0.261,0.1255,-1.015,1.425,-1.87,-0.34,-0.759,-1.774,0.5806,1.613,-2.064,-1.912
-0.2942,0.4924,1.526,1.151,0.501,1.583,-1.125,0.3418,1.394,-0.135,1.291,0.6206,-1.46,0.669,1.173
-1.007,0.934,0.9717,1.3545,0.8384,-1.008,1.194,0.2235,0.68,-1.306,-1.842,0.2325,1.531,-1.411,-1.097
1.633,-1.293,-0.5317,-1.054,-1.329,-0.643,0.5557,0.1584,-0.7,1.195,-0.9004,-0.563,0.8003,0.358,0.00881
0.8755,-1.266,0.6597,-0.4138,-0.275,-1.615,1.522,-0.4243,-0.526,-0.3386,-0.846,0.583,0.865,-0.845,-0.2465
0.391,-0.6826,-1.17,-1.274,-0.1047,1.078,-0.9053,0.4536,-0.845,1.115,0.2189,-0.412,0.07043,0.826,0.4915
-1.081,1.07,-0.92,-0.0724,0.6436,1.267,-0.84,0.9565,0.1343,-0.149,0.4797,0.1322,-0.6533,0.2227,1.025
1.144,-0.908,1.551,-0.1149,-0.868,0.7344,-0.9087,0.77,0.351,0.7886,1.186,0.1476,-1.203,0.8525,1.089
-1.48,1.331,0.86,1.27,1.656,0.8364,-0.6333,1.119,2.502,-1.366,0.1344,1.2705,-0.04855,-0.9507,0.547
1.244,-1.299,-0.135,-0.7954,-1.303,0.0569,-0.3198,0.1156,-0.941,2.111,-0.4377,-3.596,0.2084,1.208,-1.052
1.006,-1.297,0.6274,-0.4304,-0.9717,1.175,-0.908,0.9214,-0.758,2.281,0.0449,-3.621,-0.7373,1.504,-1.06
1.434,-1.171,-0.1802,-0.6616,-1.079,-1.258,1.363,-0.833,-0.959,0.984,-0.982,-0.5054,0.5845,-0.1978,-0.6157
1.627,-1.614,-1.501,-2.19,-0.829,0.8315,-0.5864,0.398,-0.9526,0.967,0.01209,-0.723,0.43,0.803,-0.172
-1.137,1.311,-1.47,-0.1312,0.741,-0.1995,-0.1488,0.7847,0.327,-1.126,-0.599,0.4275,1.177,-0.8135,0.00661
-1.637,1.11,0.44,1.072,2.975,-0.05634,-0.4768,0.0977,2.262,-1.648,0.5254,0.698,0.05264,-0.4043,0.1982
0.9995,-1.436,-1.202,-2.193,-0.9966,0.0984,-0.465,1.1455,-1.19,1.246,-0.0535,-1.158,0.3882,0.9453,-0.02864
-0.878,0.59,0.7397,1.198,0.6187,-1.05,1.078,0.09796,0.03183,-0.8145,-1.215,0.715,0.966,-1.026,-0.2175
1.028,-1.096,-1.254,-1.794,-0.5537,1.25,-0.7725,0.1451,-1.065,1.063,0.697,-0.8823,-0.1697,1.292,0.1743
-0.3208,0.569,1.499,1.282,-0.6753,-0.9136,1.159,-1.001,1.099,-0.638,-0.1882,-0.07776,-0.1609,-0.1625,0.3367
-0.09015,0.269,1.684,1.029,-0.04083,-0.1759,-0.1583,0.33,0.8467,-0.7725,0.556,0.3162,-0.28,0.2686,0.9824
0.1766,-0.08246,-1.223,-0.723,-0.684,-1.613,1.63,-1.568,-1.103,0.3352,-0.4563,-0.3132,0.3403,-0.6978,-1.146
1.201,-1.122,1.654,-0.3027,-0.7817,0.769,-0.9365,0.32,0.557,0.6035,1.185,0.04062,-1.068,1.136,1.232
1.284,-1.204,0.789,-0.384,-0.7817,0.288,-0.3936,-0.3687,-0.6924,0.7275,-0.468,-0.1349,-0.2283,1.106,0.0712
-0.85,0.8154,-1.233,-0.322,0.4368,0.4744,-0.944,0.9053,-0.1646,0.08514,0.897,0.282,-0.8857,0.496,1.066
-0.4172,0.5317,-1.476,-0.3325,0.1116,0.9053,-1.012,1.031,-0.26,0.1024,0.4534,0.2286,-0.4653,0.6147,1.059
-1.031,1.23,-0.8955,0.1114,0.658,0.6533,-0.911,0.8105,0.2054,-0.1523,1.454,0.3157,-1.064,0.151,1.128
1.406,-1.413,1.352,-0.3516,-1.36,-0.523,0.4148,-0.571,-0.2041,0.2443,-0.262,0.3254,-0.1738,0.679,0.5825
0.1991,-0.0411,-1.568,-0.843,-1.141,-1.446,1.665,-1.856,-0.6885,0.2428,-1.584,0.561,1.437,-1.688,-1.705
-0.714,0.7935,-0.268,0.588,0.4482,-0.1202,-0.3845,-0.0644,-0.056,-0.4182,0.5254,0.182,-0.7876,0.325,0.536
0.5947,-0.8228,-1.502,-1.786,-0.568,-0.2463,-0.1461,0.74,-0.782,0.6265,0.313,-0.3367,0.2666,0.5347,0.5156
-0.7847,0.8735,0.2915,1.052,0.535,-0.2184,-0.07794,-0.1284,-0.0319,-0.7104,-0.7964,0.531,0.811,-0.4678,0.0418
-1.675,1.345,-0.8,0.01135,2.72,0.2566,-0.3425,0.1278,2.402,-1.178,0.3992,0.572,0.2502,-0.4016,0.645
-0.669,0.722,0.541,1.095,-0.385,0.1126,-0.5103,0.4114,-0.1248,-0.668,0.277,0.424,-0.537,0.3723,0.711
0.6807,-1.081,0.4524,-0.4417,-0.7344,-0.1226,-0.3955,1.063,-0.4917,0.2996,0.4077,0.337,-0.7197,0.7686,0.9077
-0.8384,0.805,0.07654,1.143,0.7905,-0.7275,0.896,-0.5073,0.2421,-1.251,0.4045,0.595,-0.2095,-0.3772,-0.04974
0.02896,0.1672,-0.1361,0.5273,-0.614,0.5205,-0.8794,0.3262,-0.711,0.985,0.6895,-0.437,-1.465,1.115,0.6636
-1.086,1.225,1.124,1.243,1.141,-0.998,1.385,-0.9165,1.565,-1.613,-0.8096,0.7573,1.116,-1.608,-0.8145
-0.255,0.5205,-0.6616,0.05093,-0.141,0.46,-0.796,0.522,-0.752,0.7915,0.5576,-0.2898,-1.3545,0.8325,0.628
0.955,-1.08,-0.396,-0.696,-1.217,0.3494,-0.4197,0.147,-0.9087,1.009,-0.805,-0.656,0.7754,0.7856,-0.11615
-1.157,0.818,-1.622,-0.6772,0.621,-1.397,1.448,-1.378,-0.3186,-0.2666,-1.596,0.1025,1.456,-1.365,-1.443
-0.723,0.791,-0.665,0.12054,0.02664,-0.4216,0.04175,-0.2612,-0.2595,-0.1382,-0.08234,0.4448,-0.4983,0.1702,0.8325
0.0787,0.1318,1.219,1.053,-0.4023,0.1484,-0.4248,0.8022,0.2106,0.3442,-0.807,-0.02017,-0.4634,0.666,0.6963
-0.06915,0.3787,1.117,1.2705,-0.1544,-1.719,1.57,-1.058,0.254,-1.175,-0.7515,0.573,0.792,-0.9585,-0.8296
1.262,-1.19,-0.7476,-1.533,-0.5073,0.627,-0.895,0.3286,-1.141,1.243,1.281,-1.194,-0.1931,1.368,-0.311
1.203,-1.47,1.182,-0.523,-1.394,-0.03195,-0.2527,0.12115,-0.381,1.263,-0.1536,-1.1045,-0.2576,1.209,0.279
-1.377,0.9976,0.4023,1.077,1.103,0.543,-0.8477,0.6816,0.4548,-0.4565,1.322,0.749,-0.9746,0.054,1.265
0.04794,0.1437,0.404,0.9214,-0.632,0.3936,-0.5347,0.11694,-0.5205,0.2788,1.463,0.3186,-1.441,0.686,0.959
0.2213,-0.2893,-0.4382,0.1615,0.0832,-0.7754,1.016,-1.253,-0.921,-0.191,0.3918,0.558,-0.901,0.3967,-0.209
0.99,-1.274,-0.422,-1.008,-0.7783,-1.045,1.314,-1.169,-1.15,0.1925,-1.967,0.06573,1.326,-0.7764,-1.823
0.152,-0.2019,0.9746,0.686,-0.2778,-0.615,0.5635,-0.472,-0.154,-0.4167,-1.012,0.8887,0.544,-0.0854,-0.3433
0.02118,0.2051,-1.241,-0.4902,-0.2231,-1.623,1.65,-1.642,-0.5396,-0.484,-0.2119,0.5015,0.0916,-0.9287,-0.7036
-0.8267,0.677,0.951,1.126,0.5874,-0.907,1.224,-1.105,0.38,-1.292,-0.82,0.6914,1.024,-1.044,-0.8486
0.2216,-0.4421,-0.3674,0.2114,-0.01221,0.824,-0.882,0.2441,-0.6675,0.554,-0.09503,0.1439,-1.068,0.9224,0.5347
-0.1862,0.356,1.178,1.032,-0.03183,1.243,-1.148,1.128,0.3406,0.0791,1.097,0.3145,-1.303,0.746,1.287
-1.684,1.271,1.553,1.22,2.83,-0.3308,0.074,0.0669,3.545,-1.794,-0.635,1.016,1.015,-0.932,-0.364
0.4258,-0.5986,-1.25,-1.295,-0.4146,0.4927,-0.7056,0.537,-0.8525,0.775,-0.001503,-0.579,0.1875,0.7666,0.3247
-0.244,0.641,0.839,1.028,0.02121,1.6,-1.174,1.167,-0.00852,0.00239,0.4983,0.7354,-1.29,0.2883,1.124
0.2725,-0.3315,1.236,0.8726,-0.326,-0.2766,-0.2664,0.554,0.323,-0.4395,-0.3633,0.5435,0.06903,0.4548,0.3254
-0.1927,0.5938,1.341,1.071,-0.3557,-1.303,1.458,-1.324,0.7114,-1.264,-1.638,0.8394,1.428,-1.965,-1.7295
0.969,-1.3545,-0.0103,-0.851,-0.912,-1.3,1.594,-1.378,-0.882,0.3772,-0.6084,0.2487,0.565,-0.506,-0.6445
1.301,-1.315,-1.767,-2.05,-0.8804,-1.201,1.227,-1.329,-1.11,0.4153,-0.4233,-0.05048,0.899,-0.2573,-0.715
1.086,-1.359,0.1974,-0.762,-0.4817,1.583,-1.292,0.703,-0.533,1.655,1.065,-2.936,-0.5186,1.287,-0.5386
1.3955,-1.278,-0.797,-1.63,-0.762,-0.2102,-0.3955,-0.0745,-0.719,0.8535,-0.3064,-0.6025,0.7856,0.566,0.1682
-0.269,0.6333,1.23,1.203,-0.91,-0.396,0.1318,0.5566,0.2263,0.0903,-0.2166,0.3545,-1.035,0.2769,0.625
-1.477,1.37,-0.7837,0.0143,2.42,1.637,-0.859,1.121,2.537,-1.485,0.565,0.698,0.4722,-0.663,0.5728
0.995,-1.087,-0.1638,-0.607,-0.727,-0.2693,-0.001189,-0.592,-0.9126,1.399,-0.4187,-1.751,0.1609,1.114,-0.952
0.2664,-0.4663,-0.88,-1.08,-0.6455,-0.4714,0.4436,-0.02141,-1.162,0.9673,0.3071,-0.04474,-0.4067,0.731,0.315
-0.0638,0.4783,0.3083,0.8906,-0.745,-0.4897,0.322,-0.461,-0.4675,0.2043,-0.6855,0.1606,-0.2311,0.2727,0.10345
-1.343,1.115,0.9023,1.167,1.259,0.4375,-0.6826,1.152,1.306,-1.057,0.2406,0.6865,-0.1824,-0.2045,0.63
-0.9526,0.913,-1.59,-0.4744,0.3242,0.9507,-0.7744,-0.0018425,-0.02498,0.02846,-0.3667,-0.2424,0.1355,0.2803,0.4294
0.4604,-0.622,-0.674,-0.7495,-0.2634,1.469,-1.18,1.428,-0.591,1.173,1.001,-1.117,-0.3162,1.148,0.4795
-1.032,0.872,1.089,0.978,0.435,-1.579,2.008,-3.08,0.589,-1.219,-1.878,0.999,1.617,-2.55,-2.55
-1.514,1.169,-0.7676,-0.08954,2.598,-1.519,1.575,-0.939,2.129,-2.441,-1.504,0.776,2.082,-2.77,-1.929
0.4272,-0.746,1.337,0.01257,-0.7344,-1.648,1.703,-1.67,0.03488,-0.8975,-0.7876,0.5303,1.081,-1.072,-1.174
-1.281,1.267,-0.4346,0.665,1.022,-0.941,1.304,-1.419,0.7134,-1.9375,-0.516,0.753,0.8477,-1.61,-1.336
0.994,-1.057,1.685,-0.1576,-0.8647,1.445,-1.132,1.9375,0.7,0.5566,1.079,-0.2086,-1.147,1.1875,1.654
1.5205,-1.132,-0.05457,-0.665,-0.6606,0.9004,-0.8594,0.9834,-0.907,1.152,0.7163,-0.868,-0.5757,1.097,0.4912
-0.9434,0.9976,1.505,1.067,0.6157,0.8633,-1.003,1.228,1.375,-0.1229,0.426,0.517,-0.98,0.317,1.143
-0.071,0.39,-1.733,-0.608,-0.2913,1.065,-0.627,1.423,-0.7144,0.589,1.152,-0.008064,-0.626,0.613,0.8076
0.5474,-0.868,0.0898,-0.5303,-0.561,1.575,-1.061,1.888,-0.747,1.274,0.00939,-1.256,-0.4136,1.091,0.1283
1.484,-1.479,-0.1493,-0.8555,-0.9424,-0.3328,0.005486,1.072,-1.155,1.381,-0.248,-1.834,0.01325,1.056,-0.655
0.23,-0.0974,-0.2798,0.506,-0.51,-0.961,1.09,-0.113,-0.989,-0.00871,-2.117,0.6997,0.4058,-0.28,-0.9463
