V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
1.243,-0.796,1.215,-1.486,-1.089,-0.806,1.324,1.63,-1.242,-0.816,0.932,0.4446,0.781,0.824,1.087,0.5967,-0.8,-1.293,1.188,0.7896
1.54,0.738,-0.10767,-1.672,-0.7124,0.8584,0.1658,1.392,1.664,1.296,-1.089,-1.789,0.5186,-1.218,0.5444,-0.232,0.4246,1.269,0.533,0.3623
0.1735,0.8887,-0.849,-1.11,1.057,1.553,1.535,-0.5215,1.967,-0.381,-0.2676,-0.4792,-0.569,0.7305,0.932,0.005543,-0.643,0.1644,0.399,0.7905
1.274,1.131,-0.2322,-0.2537,0.5083,1.516,0.07874,-0.2452,1.721,0.881,-0.322,-1.125,-0.3838,-0.3723,1.748,0.3975,1.107,1.814,-0.1708,0.3787
-1.597,1.015,-0.058,1.369,1.376,1.466,1.217,-1.658,1.558,0.04092,-0.3918,0.1809,-1.403,0.771,-0.782,-1.753,-1.802,0.8647,-0.6714,-0.405
0.2401,-1.392,-0.05978,-0.66,-0.7324,-1.01,1.235,1.215,-1.524,0.01686,1.572,1.808,1.376,-0.5513,0.0602,0.6323,0.5044,-0.285,1.794,-1.609
0.285,1.482,0.1694,-0.11365,1.434,1.049,-1.465,-1.415,1.429,-1.004,-1.456,-0.3406,-2.09,0.258,-0.804,-1.846,0.716,1.72,0.1876,0.04953
1.759,0.0237,0.1812,-0.5347,1.693,-0.9365,-1.48,0.7354,-0.2256,-1.026,0.7686,-0.3025,0.747,0.6895,0.4272,-0.10345,-0.355,-1.564,0.001748,-0.2378
-1.33,-0.5137,1.48,1.693,-1.12,-1.342,-1.444,1.408,-1.731,-1.301,-0.1206,2.033,1.357,1.432,-1.267,0.4368,0.04764,-1.582,-0.736,-0.6016
-0.982,1.536,-1.424,-0.3079,-0.1447,0.1537,1.549,1.299,0.8823,1.66,-0.2734,-0.857,1.255,2.025,-1.836,-0.2379,1.671,1.218,-0.0252,0.338
0.377,0.498,-1.194,0.77,-1.228,-0.979,-0.87,1.268,-0.2251,1.724,1.406,-1.762,0.6587,0.01393,0.1088,0.8003,2.535,0.366,-1.298,0.01232
0.558,0.3486,1.574,0.642,-0.3252,-0.4998,-1.466,0.5405,-0.02138,-0.2812,1.232,0.4321,0.666,-0.02737,0.5376,0.3335,0.581,0.2637,0.0801,0.2815
0.35,-1.556,1.156,-0.4253,0.3984,0.4749,-1.724,-0.4934,-0.46,-0.9805,-1.347,-0.6294,-0.2554,-0.2166,0.832,-0.7915,0.259,0.521,1.335,-0.641
-1.155,0.4746,0.63,-1.398,1.353,0.3643,-1.607,0.4507,1.474,1.247,-0.584,-1.454,0.9463,1.163,-1.171,-1.405,0.2092,0.3809,-0.6865,-1.172
0.2332,-0.464,1.267,0.5103,-1.45,-0.8975,-1.211,-0.8105,-1.485,0.556,1.587,1.076,-0.468,-0.1812,0.9214,1.756,0.4885,-0.1989,-0.9297,0.7373
1.79,-0.0428,1.297,-0.3262,1.178,-0.857,1.016,-1.335,-0.4592,-0.891,0.876,-0.5312,-1.661,-0.4216,-0.4333,-0.8975,0.7446,0.0053,-0.4353,-1.003
0.7456,-0.784,0.1365,-0.619,-1.112,0.9834,0.7314,1.632,0.07166,0.822,-0.839,-0.2534,-0.2457,-2.178,1.583,0.1404,-0.772,0.1342,0.1796,0.8584
0.44,-0.2006,1.374,-0.718,1.583,-1.366,0.3743,-0.603,-0.649,1.099,1.066,-1.57,-0.7964,-1.949,1.34,-0.304,1.334,-0.2715,-1.114,-0.6484
-0.8813,-0.561,1.436,-1.354,1.049,-1.0,0.4202,-1.166,-1.122,0.6226,1.593,-0.3567,-1.146,-0.5293,-0.7554,-1.343,-1.075,-1.281,-0.2566,0.0878
-0.0454,-1.008,1.263,1.756,1.141,1.554,1.104,-0.963,-0.656,-1.522,-1.847,-0.547,-1.498,-0.935,-0.88,-1.285,-1.108,0.3918,-1.544,-0.2878
-0.2788,-0.226,-1.846,-0.7524,1.475,-0.4397,0.385,-0.3008,-0.2856,1.526,1.09,-1.879,-0.02695,-2.004,-0.2703,-0.254,1.648,0.579,-1.2705,-1.5
0.496,-1.22,1.372,-0.6177,0.4272,1.735,1.435,-1.555,0.393,-1.32,-1.449,0.3665,-1.272,0.6006,0.677,-1.456,-0.2834,-0.04373,0.383,0.7964
-0.9297,1.08,-0.3425,-1.725,-1.228,-1.391,0.7866,-0.3103,0.2006,-1.128,0.1422,0.3862,-0.4106,-0.492,-0.0439,1.739,-1.318,-1.517,0.2179,2.328
1.534,-1.677,-0.8774,-0.1843,1.253,-0.845,-0.965,-0.5522,-1.677,1.263,1.465,0.9727,-0.4111,0.7783,1.677,-0.19,1.141,0.2303,1.254,-0.3162
-0.2244,1.326,1.514,-0.261,-1.088,1.543,0.5645,0.364,1.669,-0.1398,-0.2347,-0.05222,0.3655,-2.361,-1.043,1.772,0.704,1.494,-0.3325,1.027
-0.56,0.8677,-0.751,1.134,0.5215,-1.168,-1.567,0.877,-0.2098,0.1101,1.807,0.0698,1.446,0.3762,-0.2488,-0.3489,-1.446,-1.105,-0.6587,-0.8022
-1.583,0.8345,0.801,0.7036,-1.024,-1.232,0.294,-0.759,-0.1724,1.044,1.385,-1.024,-0.3025,-0.4285,-0.3347,0.2341,0.2551,-1.003,1.05,-0.854
-1.225,-0.303,1.536,1.712,-0.1149,-0.303,0.5747,1.004,-1.025,-0.2068,0.9644,0.2278,1.531,-0.4314,-0.4514,-0.559,-1.6,-0.1735,-0.5884,-0.2986
-1.293,-1.632,-1.379,0.999,-0.1519,-0.4194,-0.908,1.134,-1.614,-0.6406,0.5513,1.767,0.944,1.465,-1.716,-0.2361,0.8384,0.5864,1.289,-0.7617
-1.577,0.9575,1.217,0.4856,-1.107,-0.1031,-0.417,0.909,0.656,-0.6987,0.05884,0.8022,1.147,0.768,-0.5103,0.579,0.4277,0.468,1.513,-1.203
-0.721,1.486,1.341,0.1871,0.396,-0.969,1.568,0.386,-0.2415,1.461,1.592,-1.543,0.6255,1.82,-2.285,-0.2847,2.09,-0.1223,-0.258,-0.4956
0.1768,-0.1522,1.07,-1.667,0.8022,-1.032,0.2915,-0.4126,-0.7393,-0.6895,0.94,-0.5815,-0.1698,-1.634,0.452,-0.157,-1.549,-0.846,-0.05768,0.3655
