V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
0.2585,0.1722,-1.249,0.4873,1.0625,0.2886,-0.1278,-1.511,0.74,0.633,0.9233,1.305,0.8154,-0.964,-0.769,1.063,-1.724,-1.3955,0.625,-2.225
-0.3408,1.081,-0.1422,1.088,-1.027,0.2668,0.4236,-0.616,-1.148,-1.159,1.244,0.061,-0.5884,0.2035,-0.7676,-0.7314,0.588,-0.6216,1.504,-0.4153
0.3596,0.04572,-1.097,-1.402,-1.065,0.399,-0.09235,1.621,-0.2013,-1.237,-1.452,-1.032,-0.86,-0.3013,0.3296,0.503,0.9727,-0.4006,-0.1353,0.8506
0.5093,-0.9365,0.5903,0.5913,0.294,-1.171,-0.3584,-0.884,-1.079,0.992,0.942,-0.1522,-0.5557,0.1505,-0.9575,-0.595,0.4546,-0.37,0.9014,-0.407
-0.549,1.067,-0.1881,0.8525,-1.308,1.412,0.764,-0.8843,-0.3533,-1.808,1.196,-1.711,-0.2233,0.06107,1.953,1.627,0.332,0.2119,0.2435,1.309
-0.7485,1.158,-0.4277,0.54,-1.123,0.7227,0.8315,-0.97,-0.9214,-1.599,1.156,-1.252,-1.482,0.5444,1.713,0.8765,1.744,-0.954,-1.667,0.0942
1.263,-1.34,1.433,1.684,-0.4795,-0.9414,-1.455,0.7876,0.464,0.7007,0.833,0.4453,1.494,0.4539,-0.5137,-0.02672,-0.4443,0.6104,0.126,-0.4062
0.298,-0.659,0.0513,0.643,-1.459,1.605,-0.2266,-1.293,-0.1248,-1.96,0.877,-2.674,-0.02792,-0.2402,0.4321,0.06027,-0.005653,-0.1809,1.377,0.3794
-1.604,0.3855,-1.411,0.2874,1.202,0.5625,1.221,-1.414,0.2996,0.343,0.6416,1.557,0.621,-0.979,-0.5527,0.8535,-1.279,-1.358,0.2129,0.9966
0.5664,-0.809,0.3394,-0.3293,0.9897,0.1868,-0.386,-0.4326,0.81,0.466,-0.276,1.949,0.2595,-0.04352,0.641,0.3442,-0.335,0.3909,-0.762,-1.303
-0.05377,0.6484,-1.021,0.09094,1.598,1.001,0.2551,-0.605,0.9644,-0.2032,0.436,1.534,0.7124,-0.7847,0.6997,0.8486,-1.133,-1.127,0.4224,-2.598
-0.463,1.008,-0.6333,1.037,1.228,0.6084,0.59,-0.4373,0.6943,0.3142,1.323,1.77,-0.86,1.219,0.835,-0.732,1.658,-1.668,-0.832,-0.962
-0.01387,0.62,-1.049,-0.1692,0.705,-0.3154,0.333,-0.2764,-0.8125,0.9043,-0.00971,-0.1609,0.9927,-0.322,-0.5205,0.753,-0.4207,-0.509,0.1273,-0.1661
-1.366,0.67,-1.225,0.4897,-0.1633,-1.294,1.138,-1.024,-0.713,0.6494,0.8276,0.04282,0.1671,-0.8594,-1.54,1.306,-1.105,-0.933,0.1486,1.657
0.6514,-0.9453,0.604,-0.7925,-0.712,-0.529,-0.4531,0.3445,1.147,-0.3882,-1.02,-0.2094,-0.1252,0.2256,-0.9336,-0.935,0.224,0.5425,-0.555,-0.4712
1.378,-1.403,1.553,-0.3599,1.63,0.9497,-1.622,-0.1179,1.303,-0.2252,-0.3271,0.839,1.047,1.076,0.2505,-0.09644,-1.403,2.041,1.429,-0.529
