V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
0.947,-0.7134,0.397,1.7,0.4902,0.9917,-0.6523,0.2257,0.00876,-1.325,-0.4644,-1.309,-1.134,-2.326,0.1737,0.03607,-0.992,-0.00837,-0.787,-0.07434
-0.748,-0.05887,1.235,0.04324,0.629,-0.6426,0.8105,-0.522,-0.7266,0.3542,0.794,-1.826,0.0991,0.503,-0.454,0.00422,0.4973,0.1976,-1.522,-0.265
0.806,-1.222,-0.369,1.573,-0.582,0.04224,0.4006,-0.8564,0.932,0.278,0.2322,1.347,0.1611,1.355,1.949,-0.04916,0.133,0.2812,0.1298,1.042
-0.9175,-2.035,0.5947,0.3586,-0.619,-0.9253,0.9263,1.135,-1.196,-0.7563,-0.439,0.789,-0.3306,-1.687,0.1342,0.1846,0.2205,0.4905,-0.827,-0.00503
0.1625,1.652,0.381,0.6333,-1.623,0.1317,1.578,1.609,1.948,1.28,-1.279,0.02592,1.528,1.908,2.979,0.741,-1.121,-0.2405,-1.752,1.363
1.489,1.492,0.4424,0.2786,-0.931,1.033,-0.5015,-0.3787,1.049,0.2489,-0.195,1.532,0.272,0.7764,1.513,-0.2007,-0.896,-0.8296,-1.011,0.5356
0.6255,-0.2126,0.29,-0.4197,0.7314,-0.4607,-1.597,-0.926,-0.6777,-0.4138,2.281,-1.911,-0.8325,-0.6006,-0.938,-1.445,0.554,0.43,0.01814,-0.3604
1.572,1.003,0.078,1.505,-0.05115,-0.2344,-1.244,0.366,0.72,0.09033,0.79,-0.4844,0.3955,-0.1573,0.07806,0.8096,-0.559,0.455,0.619,1.059
1.221,0.5654,1.183,-0.7656,1.331,0.7583,0.763,-0.585,1.316,0.912,-0.7954,-0.4702,2.814,1.63,0.178,1.187,0.5317,-0.3435,-0.659,0.4238
0.5,0.5034,0.3523,-0.556,0.697,-0.03598,0.6987,1.1045,0.711,0.1978,-0.23,-1.569,-0.1554,-0.1517,0.0475,1.358,-1.224,0.2041,-0.6064,0.8145
1.326,0.03452,1.026,0.881,-1.763,0.348,1.576,-0.85,2.014,0.941,-0.6934,0.6577,1.518,0.746,0.1641,0.2617,-0.966,-0.703,0.64,0.5205
0.873,0.2362,-0.5205,-1.239,0.988,-0.3796,-0.2993,-0.276,0.0752,-0.147,1.596,-0.08545,0.719,-0.2297,-1.098,-0.2634,0.1043,1.057,0.02472,-0.02159
-0.2698,-1.043,-0.1646,0.01839,-0.282,-1.765,-1.087,0.4175,-1.325,-0.983,0.6455,-1.119,-0.4695,0.638,0.198,-0.647,0.000982,0.302,0.3176,-0.09094
0.5596,0.5767,0.4238,0.691,0.47,0.953,-0.605,-0.89,-1.24,0.277,-1.502,3.246,-1.143,-1.007,-1.272,-1.448,0.928,-0.8623,0.2318,-1.252
-0.6504,-0.993,-0.395,0.9536,1.759,0.5083,-1.461,0.9873,-1.384,-2.05,0.07355,0.9834,-1.793,-2.037,0.9155,-0.712,1.785,0.1614,1.34,0.2073
1.473,0.8374,0.821,1.417,-1.77,1.499,-0.379,-0.3987,1.4375,-1.031,-1.661,0.622,0.10095,1.137,0.2445,0.4753,-1.025,-1.043,-0.996,-0.1445
1.063,1.979,-0.0679,-1.282,-1.179,0.9404,-1.512,-0.10895,0.2362,-0.6123,-0.8076,-0.604,-0.477,0.9775,-0.955,-0.3281,-1.584,-1.042,-0.7314,-0.4219
0.09106,-0.3875,0.7563,0.94,1.716,0.938,1.043,-0.01645,0.6763,-0.481,1.581,-0.564,0.0828,-0.4404,-0.4,0.3052,1.227,0.7554,1.133,1.213
-1.643,-0.931,-1.215,-0.4988,-0.4033,0.3347,-0.6436,-0.521,-0.832,-0.6978,1.686,-0.6846,-0.301,-0.7476,-0.3542,-0.2008,0.1798,1.039,0.3843,0.1294
-0.4834,-0.4983,-1.371,-1.215,0.3645,-0.1433,-0.4543,-0.819,-1.34,0.3115,-0.1508,-0.967,-1.105,-1.102,-2.787,-2.389,-0.3994,-1.499,0.0908,-2.895
1.14,-0.899,0.4504,1.345,-1.585,-1.202,-0.995,0.4778,0.4692,-1.513,1.457,0.604,-0.4827,-0.9404,1.638,0.9585,0.922,1.061,1.052,1.729
0.4287,-0.04037,-0.2832,-1.211,-0.2386,1.389,-1.314,0.2878,0.7993,-0.9707,-2.092,-0.0762,-0.2435,-1.129,-0.7275,-0.1224,-1.651,-1.004,-0.8813,-0.7656
0.3245,0.1037,1.703,-0.3362,0.1165,-0.888,0.527,-1.269,1.683,-0.473,1.035,-0.09924,1.288,1.38,-1.508,-0.5435,0.0008655,-0.4736,-0.2152,-0.2883
1.422,0.294,1.194,0.6074,0.3406,1.095,0.4534,1.044,1.051,-0.4236,0.4543,0.6797,0.1808,-0.4968,1.237,1.483,1.291,0.7627,1.094,1.724
0.4033,-0.729,1.161,-0.439,0.000991,-1.605,1.673,-0.2263,1.38,-0.2158,0.646,-1.083,0.451,-1.104,0.4058,0.1675,-1.27,-0.3384,0.01072,0.07056
0.8486,0.638,0.4072,-1.61,-0.886,-1.624,-0.1378,0.566,0.2258,0.1414,-1.121,-0.10565,-1.005,-0.845,-0.5728,-0.586,-0.1945,-1.598,-1.205,-0.542
-1.407,-1.394,-1.368,0.716,-0.2727,-0.04993,1.68,-0.4236,-0.817,-0.0707,0.2598,-1.147,0.5244,0.5957,0.863,0.5776,-0.3018,-1.087,-1.752,-0.42
-0.6914,1.44,0.837,-1.42,-0.1655,1.058,0.1427,-0.204,-0.5947,0.907,0.1263,1.516,-0.496,0.1254,-1.627,-0.881,0.852,0.2913,0.3232,-0.727
-0.9766,1.618,-1.03,1.769,-1.082,0.897,0.868,-1.978,-0.1991,0.2944,-1.123,0.413,-0.423,-0.6514,0.2241,0.28,-1.481,-1.786,-1.314,-1.0625
0.5127,0.52,0.64,-1.273,0.6553,-0.918,0.8955,-0.1367,1.087,0.1382,0.7793,-1.07,1.453,0.7964,-1.789,-0.04105,0.889,0.5054,1.208,0.861
-0.532,-0.6577,-0.3926,-0.833,-0.336,1.403,0.8213,-0.1339,0.905,0.5815,-1.528,0.266,0.817,0.2448,-0.08154,-0.0591,-1.083,-0.979,-0.9067,-0.4585
0.8745,1.468,0.2439,-0.2979,-0.4856,0.986,-1.281,0.0764,0.1335,-0.4224,0.4692,0.6963,-0.511,-0.3582,0.2141,0.3179,-0.1427,0.7114,1.055,0.656
-1.126,0.6855,-0.414,0.5454,-0.10394,0.5986,0.3909,-0.10583,-0.6196,1.14,0.1364,-0.4382,0.7285,-0.3555,1.331,0.338,1.176,0.643,-0.9463,0.487
