V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
0.3376,-0.6665,0.915,-0.3027,-0.677,-0.239,-0.9585,-0.5757,-0.9097,-0.7583,-0.1793,-1.36,-0.4746,-1.017,-0.801,-0.9443,-0.8506,-0.2263,-0.3503,-0.2844
0.2732,-0.5127,-0.685,-0.1343,-1.098,-1.087,-0.889,0.2023,-0.7896,-1.604,-0.10956,0.974,-1.411,-0.8286,-0.533,0.0631,-0.675,-0.4421,-0.3796,-0.323
0.5513,-0.1577,-0.5938,-0.04492,1.068,-0.9937,0.07477,-1.109,-0.5093,-0.3662,-0.463,-1.493,0.2328,0.994,-0.6274,-0.8794,-0.884,-0.02249,-0.2876,-0.2438
0.1522,-0.679,-0.2079,-0.3347,1.317,-1.158,0.4946,-0.03952,-0.8857,1.25,-0.2512,1.368,0.596,1.684,-0.2827,0.2104,-0.395,-0.1598,-0.353,-0.2517
0.542,-0.4988,1.47,0.2153,-0.1656,0.666,-0.8374,-0.972,-0.646,-0.646,-0.2168,0.3477,0.6934,-0.587,-0.2693,-0.1328,-0.567,-0.6714,-0.319,-0.478
0.757,0.1917,-0.539,0.4805,0.3457,0.3171,-0.4062,0.3198,-0.05328,-0.548,-0.4526,1.303,-0.876,-0.00776,-0.7344,-0.1088,-0.546,-0.03644,-0.2847,-0.2517
1.301,1.393,0.2494,1.398,-1.432,-0.2363,0.3787,1.465,2.29,1.251,-0.2808,1.405,-0.8525,-0.594,1.424,0.6675,0.899,0.9585,0.4429,0.2556
1.242,0.997,1.437,1.205,0.06073,-1.757,0.0654,-0.3674,0.2472,1.299,-0.4092,0.646,0.8022,-0.5195,0.02405,0.1283,0.665,0.148,-0.04007,-0.1698
0.4556,-0.2198,-1.573,-0.2803,-0.2825,-0.836,-0.87,-0.1175,-0.645,0.5195,-0.0558,0.7324,-0.4006,-1.105,-0.9023,-0.4612,-0.729,-0.571,-0.3699,-0.4216
-0.6367,-1.051,1.624,-0.6953,1.134,0.4504,0.4236,-1.378,-0.8086,-0.6484,-0.18,-1.629,2.496,1.052,2.494,2.74,0.4014,0.4146,-0.1641,0.6694
-1.188,-0.4922,-1.609,-0.994,-0.804,-0.709,-0.9653,-1.621,-0.4485,0.0236,-0.0968,-0.1688,-0.4285,-1.023,-0.7812,-0.7324,-0.8276,-0.84,-0.36,-0.3943
-1.501,-0.0813,-1.595,-0.571,0.253,0.417,-0.543,0.02461,-0.6753,1.321,-0.3347,0.3423,-0.1049,-0.3904,-0.7905,-0.6055,-0.3613,-0.774,-0.303,-0.4717
0.471,-0.4238,-0.574,-0.00751,1.389,0.065,0.4634,-0.00784,-0.673,-0.915,-0.2988,-0.7466,0.701,1.743,-0.2233,-0.3862,-0.753,-0.5522,-0.3054,-0.4426
-0.9785,-0.367,1.613,-0.6875,1.484,-0.62,0.729,1.152,0.2993,1.161,-0.1245,0.5317,3.115,1.816,4.105,5.242,1.087,-0.01378,-0.3381,2.486
0.1556,-0.618,-1.262,-0.1564,0.5405,-0.473,-0.3474,-1.201,-1.001,0.9604,-0.344,0.1113,-0.1278,0.00877,-0.6445,-0.629,-0.606,-0.7354,-0.354,-0.4824
-0.5327,-0.8364,-0.4104,-1.068,-1.627,0.1422,-0.57,0.4758,-0.7266,1.377,-0.2527,0.707,-1.162,-0.6973,-0.6484,-0.2898,-0.12067,-0.601,-0.3787,-0.3364
-0.622,-0.967,1.135,-0.812,0.1714,-1.119,-0.4875,-0.4224,-1.311,-1.278,-0.3606,1.676,0.4006,-0.6753,-0.3362,0.264,-0.7344,0.05096,-0.2969,-0.0663
-0.7354,-0.762,-0.8926,-0.8813,-1.434,-1.681,-0.651,-0.5117,-1.24,-1.622,-0.305,0.7896,-1.156,-0.773,-0.4802,-0.1566,-0.6035,-0.647,-0.3408,-0.335
-0.4497,-0.977,-0.2433,-1.015,0.512,0.43,-0.1628,-1.6455,-0.602,-0.943,-0.3591,0.665,-0.64,0.1138,-0.85,-0.5034,-0.6196,-0.6494,-0.3577,-0.3323
0.1722,-0.6196,-1.034,-0.12286,-0.0345,0.2358,-0.632,-0.815,-1.023,-0.591,-0.2285,0.2344,-0.7324,-0.6274,-0.7715,-0.626,-0.7505,-0.666,-0.363,-0.4797
0.384,-0.384,1.188,-0.08026,-1.292,-0.1769,-0.7866,-0.6934,-0.913,1.618,-0.1637,1.396,0.1122,-0.8975,-0.5806,-0.04413,-0.2998,-0.03946,-0.273,-0.2394
0.08765,-0.6577,-0.258,-0.383,1.277,0.4663,0.4321,-1.376,-0.647,-0.6445,-0.3628,-0.9956,0.5527,1.454,-0.3853,-0.579,-0.7627,-0.495,-0.39,-0.419
-0.621,-0.8203,-0.897,-1.071,0.0581,-0.713,-0.618,1.631,1.038,-0.5376,-0.2898,-0.2573,-0.825,-0.4756,-0.1079,-0.5474,-0.787,-0.8384,-0.3428,-0.3884
1.555,1.96,0.4797,2.143,-0.8633,-1.059,1.172,-1.268,1.173,0.7266,0.2434,-1.461,-1.053,-1.086,0.1573,-0.5073,1.958,2.209,1.843,1.13
-0.7515,-0.924,0.004955,-0.7656,0.547,-0.02774,-0.2363,0.8525,-0.2695,0.469,-0.4375,1.011,-0.4402,-0.02989,-0.7866,-0.3555,-0.6045,-0.4326,-0.3564,-0.3308
-1.38,0.05466,1.56,-0.7324,0.9697,1.078,-0.01335,0.0395,-0.726,-0.5093,-0.3557,1.357,2.045,0.733,1.572,2.281,0.1594,0.0001897,-0.328,0.3953
1.286,1.311,-1.237,1.324,1.496,1.714,1.746,0.462,0.723,-0.04755,0.881,0.01698,1.275,2.041,0.7676,0.7495,1.175,0.425,0.0569,0.007244
-0.0761,-0.8516,1.5,-0.574,0.868,0.554,-0.02019,-0.95,-1.023,0.4297,-0.4978,1.549,1.878,0.712,1.375,2.146,0.097,0.2446,-0.2466,0.3813
-0.282,-1.122,0.9526,-0.673,-1.536,1.224,-0.6123,1.18,0.2069,-1.612,-0.2708,-0.878,-0.2069,-0.7295,-0.5825,-0.897,-0.377,-0.497,-0.3315,-0.385
1.214,1.054,-1.384,0.916,0.1985,0.825,0.03403,-1.379,0.68,1.468,-0.3975,1.47,-0.307,-0.3496,-0.4326,-0.0178,0.6035,0.604,0.0767,-0.04102
0.6875,0.27,1.438,0.0872,0.901,-1.127,0.08203,-1.442,-0.3115,-0.2327,-0.3152,-1.008,1.722,0.7,1.014,0.8926,-0.1758,-0.3418,-0.3555,-0.3027
-1.722,0.5566,-0.5063,-0.4673,-1.579,0.537,-0.46,1.555,1.535,0.7983,-0.4338,-1.235,-1.007,-0.5137,0.4163,-0.4976,-0.311,-0.2135,-0.372,-0.348
-0.68,-0.8784,-0.5693,-0.9697,-1.491,-0.2827,-0.6367,1.51,0.657,0.836,-0.202,-0.287,-1.277,-0.773,-0.2715,-0.347,-0.3276,-0.6465,-0.3809,-0.4387
0.758,0.07495,-0.8384,0.542,-0.02486,0.4788,-0.767,0.2041,-0.1797,0.379,-0.2688,1.374,-1.083,-0.3645,-0.6313,0.05206,-0.343,0.003447,-0.2125,-0.216
-0.693,-0.956,-1.309,-0.4758,-0.973,0.3154,-0.7812,-0.1288,-1.129,-1.088,-0.141,1.322,-0.745,-0.827,-0.6865,-0.1313,-0.688,-0.2776,-0.3376,-0.2546
0.0704,-0.6416,-1.524,-0.6396,-1.287,-0.9536,-0.843,-0.9214,-1.081,1.24,-0.2532,-1.685,-0.532,-0.888,-0.6133,-0.968,-0.506,0.1953,-0.3118,-0.1793
-0.3489,-0.8022,0.4014,-0.578,0.513,0.02045,-0.3374,-0.2817,-1.181,1.124,-0.4363,-0.5303,-0.3062,0.04114,-0.597,-0.7944,-0.447,-0.663,-0.3826,-0.446
1.398,1.557,-0.697,1.662,-0.928,-0.806,0.4065,1.228,2.105,-1.458,-0.306,-0.3904,-1.198,-1.047,1.294,0.11884,0.9844,0.485,0.1865,0.001803
